natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
An LHCP has authenticated him or herself in the iTrust Medical Records system (UC2).,LHCP(L).,System(S).,"authenticated_in(L, S) :- LHCP(L), System(S).","can_access(L, S) :- LHCP(L), System(S), authenticated_in(L, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The iTrust HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The HCP selects a different Lab Technician.,HCP(H).,LabTech(L).,"selected(H, L) :- HCP(H), LabTech(L).","can_select_different(H, L1, L2) :- HCP(H), LabTech(L1), LabTech(L2), L1 != L2, not selected(H, L2).","< can_select_different, (u_a, ¬ (""[selected]"", 1)) >"
Patient specific instructions are listed for a patient.,Patient(P).,Instruction(I).,"has_instruction(P, I) :- Patient(P), Instruction(I).","can_list_instructions(P, I) :- Patient(P), Instruction(I), has_instruction(P, I).","< can_list_instructions, (u_a, (""[has_instruction]"", 1)) >"
The information is view or editied .,User(U).,Information(I).,"has_access(U, I) :- User(U), Information(I).","can_view(U, I) :- User(U), Information(I), has_access(U, I). can_edit(U, I) :- User(U), Information(I), has_access(U, I).","< can_view, (u_a, (""[has_access]"", 1)) >"
The iTrust user (patient or PHA) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
"An LHCP views a list of his or her upcoming appointments for the current date (sorted by time, soonest upcoming first), with each appointment displayed in the format 'HH:MM AM or PM - AppointmentType'.",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_view_appointments, (u_a, (""[has_appointment]"", 1)) >"
Designated Licensed Health Care Professional (DLHCP): A licensed health care professional that is allowed by a particular patient to view all approved medical records.,"Patient(P), LicensedHealthCareProfessional(LHCP).",MedicalRecord(MR).,"designated_lhcp(P, LHCP) :- Patient(P), LicensedHealthCareProfessional(LHCP). approved_medical_record(P, MR) :- Patient(P), MedicalRecord(MR).","can_view(LHCP, P, MR) :- LicensedHealthCareProfessional(LHCP), Patient(P), MedicalRecord(MR), designated_lhcp(P, LHCP), approved_medical_record(P, MR).","< can_view, (u_a, (""[designated_lhcp^{-1}.approved_medical_record]"", 2)) >"
"The iTrust user (LHCP, UAP, or patient) has been authenticated in the iTrust Medical Records system (UC3).",User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).","< can_access, (u_a, (""[authenticated]"", 1)) >"
"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",Person(P).,Information(I).,"stored_about(P, I) :- Person(P), Information(I).","can_access(P, I) :- Person(P), Information(I), stored_about(P, I), not jeopardises_third_party(I).","< can_access, (u_a, (""[stored_about]"", 1)) >"
"After the user modifies the criteria, the user chooses to click the Cancel button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter),",User(U).,"Filter(F), Criteria(C).","has_saved_filter(U, F) :- User(U), Filter(F).
has_criteria(F, C) :- Filter(F), Criteria(C).
modified_criteria(U, C) :- User(U), Criteria(C).","can_cancel_modifications(U, F) :- User(U), Filter(F), has_saved_filter(U, F), not modified_criteria(U, C) where has_criteria(F, C).","< can_cancel_modifications, (u_a, (""[has_saved_filter]"", 1)) >"
"After the user modifies the criteria, the user chooses to click the Test Search button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria),",User(U).,"Message(M), FilterCriteria(FC).","has_criteria(U, FC) :- User(U), FilterCriteria(FC).
satisfies_criteria(M, FC) :- Message(M), FilterCriteria(FC).","can_search_messages(U, FC) :- User(U), FilterCriteria(FC), has_criteria(U, FC).
can_view_message(U, M) :- User(U), Message(M), FilterCriteria(FC), has_criteria(U, FC), satisfies_criteria(M, FC).","< can_search_messages, (u_a, (""[has_criteria]"", 1)) >
< can_view_message, (u_a, (""[has_criteria.satisfies_criteria^{-1}]"", 2)) >"
"After the user modifies the criteria, the user chooses to click the Save button to save the modified filter.",User(U).,Filter(F).,"has_modification(U, F) :- User(U), Filter(F).","can_save(U, F) :- User(U), Filter(F), has_modification(U, F).","< can_save, (u_a, (""[has_modification]"", 1)) >"
This project involves the development of an application through which doctors can obtain and share essential patient information and,Doctor(D).,"Patient(P), Information(I).","has_access(D, P, I) :- Doctor(D), Patient(P), Information(I).","can_obtain(D, P, I) :- Doctor(D), Patient(P), Information(I), has_access(D, P, I). can_share(D1, D2, P, I) :- Doctor(D1), Doctor(D2), Patient(P), Information(I), has_access(D1, P, I), has_access(D2, P, I).","< can_obtain, (u_a, (""[has_access.has_access^{-1}.has_access]"", 3) ∧ (""[has_access.has_access^{-1}.has_access]"", 3) ∧ (""[has_access.has_access.has_access^{-1}.has_access]"", 4) ∧ (""[has_access.has_access]"", 2) ∧ (""[has_access.has_access^{-1}.has_access]"", 3) ∧ (""[has_access.has_access^{-1}.has_access]"", 3)) >"
doctors can view aggregate patient data.,Doctor(D).,AggregatePatientData(A).,"has_access(D, A) :- Doctor(D), AggregatePatientData(A).","can_view(D, A) :- Doctor(D), AggregatePatientData(A), has_access(D, A).","< can_view, (u_a, (""[has_access]"", 1)) >"
"the non-emergency access can be controlled,",User(U).,Resource(R).,"has_access(U, R) :- User(U), Resource(R).","can_access(U, R) :- User(U), Resource(R), not emergency_access(U, R).","< can_access, (u_a, ¬ (""[emergency_access]"", 1)) >"
A LHCP or PHA chooses to examine recent trends in diagnoses,"LHCP(L), PHA(P).",Diagnosis(D).,"has_access_to_trends(S, D) :- (LHCP(S) ; PHA(S)), Diagnosis(D), recent(D).","can_examine_trends(S, D) :- (LHCP(S) ; PHA(S)), Diagnosis(D), recent(D), has_access_to_trends(S, D).","< can_examine_trends, (u_a, (""[has_access_to_trends]"", 1)) >"
The patient or representative clicks the send button.,"Patient(P), Representative(R).",SendButton(B).,"has_access(P, B) :- Patient(P), SendButton(B). has_access(R, B) :- Representative(R), SendButton(B).","can_click(S, B) :- (Patient(S) ; Representative(S)), SendButton(B), has_access(S, B).","< can_click, (u_a, (""[has_access]"", 1)) >"
"If the security question or answer has been set (it is not null) , present security question.",User(U).,"SecurityQuestion(SQ), SecurityAnswer(SA).","has_security_question(U, SQ) :- User(U), SecurityQuestion(SQ). has_security_answer(U, SA) :- User(U), SecurityAnswer(SA).","can_present_security_question(U, SQ) :- User(U), SecurityQuestion(SQ), has_security_question(U, SQ), not null(SQ). can_present_security_question(U, SQ) :- User(U), SecurityQuestion(SQ), has_security_answer(U, SA), not null(SA).","< can_present_security_question, (u_a, (""[has_security_question]"", 1)) >"
"If the security question or answer has been set (it is not null) , obtain answer .",User(U).,"SecurityQuestion(SQ), SecurityAnswer(SA).","has_security_question(U, SQ) :- User(U), SecurityQuestion(SQ). has_security_answer(U, SA) :- User(U), SecurityAnswer(SA).","can_obtain_answer(U, SQ, SA) :- User(U), SecurityQuestion(SQ), SecurityAnswer(SA), has_security_question(U, SQ), has_security_answer(U, SA), not null(SQ), not null(SA).","< can_obtain_answer, (u_a, (""[has_security_answer]"", 1)) >"
The LHCP may choose to confirm the date and time,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_confirm(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_confirm, (u_a, (""[has_appointment]"", 1)) >"
"The HCP cancels the lab procedure creation , .",HCP(H).,LabProcedure(L).,"created_by(L, H) :- LabProcedure(L), HCP(H).","can_cancel(H, L) :- HCP(H), LabProcedure(L), created_by(L, H).","< can_cancel, (u_a, (""[created_by^{-1}]"", 1)) >"
The HCP confirms their selection .,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), has_selection(H, S).","< can_confirm, (u_a, (""[has_selection]"", 1)) >"
A user requests that their password be changed .,User(U).,Password(PW).,"has_password(U, PW) :- User(U), Password(PW).","can_request_password_change(U, PW) :- User(U), Password(PW), has_password(U, PW).","< can_request_password_change, (u_a, (""[has_password]"", 1)) >"
The patient selects one of these appointments,Patient(P).,Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_select(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).","< can_select, (u_a, (""[has_appointment]"", 1)) >"
HCPs can return to an office visit,HCP(H).,OfficeVisit(V).,"has_visited(H, V) :- HCP(H), OfficeVisit(V).","can_return(H, V) :- HCP(H), OfficeVisit(V), has_visited(H, V).","< can_return, (u_a, (""[has_visited]"", 1)) >"
HCPs can modify or delete the fields of the office visit .,HCP(H).,OfficeVisit(OV).,"has_access_to(H, OV) :- HCP(H), OfficeVisit(OV).","can_modify(H, OV) :- HCP(H), OfficeVisit(OV), has_access_to(H, OV). can_delete(H, OV) :- HCP(H), OfficeVisit(OV), has_access_to(H, OV).","< can_modify, (u_a, (""[has_access_to]"", 1)) >"
"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may choose to take the survey for an office visit","Patient(P), PersonalHealthRepresentative(R).","OfficeVisit(V), Survey(S).","has_visit(P, V) :- Patient(P), OfficeVisit(V).
has_visit(R, V) :- PersonalHealthRepresentative(R), OfficeVisit(V).
has_survey(S, V) :- Survey(S), OfficeVisit(V).
taken_survey(P, S, V) :- Patient(P), Survey(S), OfficeVisit(V).
taken_survey(R, S, V) :- PersonalHealthRepresentative(R), Survey(S), OfficeVisit(V).","can_take_survey(P, S, V) :- Patient(P), Survey(S), OfficeVisit(V), has_visit(P, V), has_survey(S, V), not taken_survey(P, S, V).
can_take_survey(R, S, V) :- PersonalHealthRepresentative(R), Survey(S), OfficeVisit(V), has_visit(R, V), has_survey(S, V), not taken_survey(R, S, V).","< can_take_survey, (u_a, (""[has_visit]"", 1) ∧ ¬ (""[taken_survey.has_survey]"", 2) ∧ ¬ (""[taken_survey]"", 1)) >
< can_take_survey, (u_a, (""[has_visit]"", 1) ∧ ¬ (""[taken_survey.has_survey]"", 2) ∧ ¬ (""[taken_survey]"", 1)) >"
An HCP is disable a selected patient .,HCP(H).,Patient(P).,"selected_patient(H, P) :- HCP(H), Patient(P).","can_disable(H, P) :- HCP(H), Patient(P), selected_patient(H, P).","< can_disable, (u_a, (""[selected_patient]"", 1)) >"
"The LHCP opens the message to which he or she wishes to reply ,",LHCP(L).,Message(M).,"wishes_to_reply(L, M) :- LHCP(L), Message(M).","can_open(L, M) :- LHCP(L), Message(M), wishes_to_reply(L, M).","< can_open, (u_a, (""[wishes_to_reply]"", 1)) >"
The health care personnel confirms their selection .,HealthCarePersonnel(H).,Selection(S).,"has_selection(H, S) :- HealthCarePersonnel(H), Selection(S).","can_confirm(H, S) :- HealthCarePersonnel(H), Selection(S), has_selection(H, S).","< can_confirm, (u_a, (""[has_selection]"", 1)) >"
The LHCP confirms his or her input .,LHCP(L).,Input(I).,"has_input(L, I) :- LHCP(L), Input(I).","can_confirm(L, I) :- LHCP(L), Input(I), has_input(L, I).","< can_confirm, (u_a, (""[has_input]"", 1)) >"
The HCP determines if it is the patient they intend to deactivate .,HCP(H).,Patient(P).,"intends_to_deactivate(H, P) :- HCP(H), Patient(P).","can_deactivate(H, P) :- HCP(H), Patient(P), intends_to_deactivate(H, P).","< can_deactivate, (u_a, (""[intends_to_deactivate]"", 1)) >"
"The user can type in the desired zip code and a week (which may be selected by start and end date, start date only, calendar control, dropdown, or any other suitable means) within the last year .",User(U).,"ZipCode(Z), Week(W).","can_input_zipcode(U, Z) :- User(U), ZipCode(Z). can_input_week(U, W) :- User(U), Week(W), within_last_year(W).","can_access_data(U, Z, W) :- User(U), ZipCode(Z), Week(W), can_input_zipcode(U, Z), can_input_week(U, W).","< can_access_data, (u_a, (""[can_input_week]"", 1)) >"
and the MIDS and temporary passwords are displayed to the HCP in a table.,HCP(H).,"MIDS(M), TemporaryPassword(TP).","displayed_to(H, M, TP) :- HCP(H), MIDS(M), TemporaryPassword(TP).","can_view(H, M, TP) :- displayed_to(H, M, TP).","< can_view, (u_a, (""[displayed_to]"", 1)) >"
The user can choose a influenza diagnosis,User(U).,Diagnosis(D).,"has_diagnosis(U, D) :- User(U), Diagnosis(D).","can_choose(U, D) :- User(U), Diagnosis(D), has_diagnosis(U, D).","< can_choose, (u_a, (""[has_diagnosis]"", 1)) >"
"The LHCP selects the type of appointment from a pull-down menu of the existing appointment types,",LHCP(L).,AppointmentType(AT).,"has_access_to(L, AT) :- LHCP(L), AppointmentType(AT).","can_select(L, AT) :- LHCP(L), AppointmentType(AT), has_access_to(L, AT).","< can_select, (u_a, (""[has_access_to]"", 1)) >"
The HCP enters a MID  or name of a patient,HCP(H).,Patient(P).,"enters(H, P) :- HCP(H), Patient(P).","can_access_patient_info(H, P) :- HCP(H), Patient(P), enters(H, P).","< can_access_patient_info, (u_a, (""[enters]"", 1)) >"
The HCP confirms their selection .,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), has_selection(H, S).","< can_confirm, (u_a, (""[has_selection]"", 1)) >"
"A patient wants to renew the patient's expired prescriptions (i.e., prescriptions' end dates are earlier than the current date)",Patient(P).,"Prescription(PR), Date(CURRENT_DATE).","has_prescription(P, PR) :- Patient(P), Prescription(PR).
expired_prescription(PR) :- Prescription(PR), Date(CURRENT_DATE), end_date(PR, END_DATE), END_DATE < CURRENT_DATE.","can_renew(P, PR) :- Patient(P), Prescription(PR), has_prescription(P, PR), expired_prescription(PR).","< can_renew, (u_a, (""[has_prescription]"", 1)) >"
An HCP chooses to document an office visit,HCP(H).,OfficeVisit(V).,"has_access(H, V) :- HCP(H), OfficeVisit(V).","can_document(H, V) :- HCP(H), OfficeVisit(V), has_access(H, V).","< can_document, (u_a, (""[has_access]"", 1)) >"
An HCP chooses to modify an already documented office visit.,HCP(H).,OfficeVisit(V).,"has_documented(H, V) :- HCP(H), OfficeVisit(V).","can_modify(H, V) :- HCP(H), OfficeVisit(V), has_documented(H, V).","< can_modify, (u_a, (""[has_documented]"", 1)) >"
"The sending HCP then chooses to save the edits, cancel the edits,",HCP(H).,Edits(E).,"has_edits(H, E) :- HCP(H), Edits(E).","can_save(H, E) :- HCP(H), Edits(E), has_edits(H, E). can_cancel(H, E) :- HCP(H), Edits(E), has_edits(H, E).","< can_save, (u_a, (""[has_edits]"", 1)) >"
The sending HCP then chooses to re-enter the data .,HCP(H).,Data(D).,"sends(H, D) :- HCP(H), Data(D).","can_reenter(H, D) :- HCP(H), Data(D), sends(H, D).","< can_reenter, (u_a, (""[sends]"", 1)) >"
patient representative MID are saved.,"Patient(P), Representative(R).",MedicalID(MID).,"has_representative(P, R) :- Patient(P), Representative(R). has_medicalID(P, MID) :- Patient(P), MedicalID(MID).","can_save_medicalID(R, P, MID) :- Representative(R), Patient(P), MedicalID(MID), has_representative(P, R), has_medicalID(P, MID).","< can_save_medicalID, (u_a, (""[has_representative^{-1}.has_medicalID]"", 2)) >"
"The input data, a timestamp, and the fact that the status was reported by case manager",CaseManager(CM).,"InputData(ID), Timestamp(T).","reported_status(CM, ID, T) :- CaseManager(CM), InputData(ID), Timestamp(T).","can_access_status(CM, ID, T) :- CaseManager(CM), InputData(ID), Timestamp(T), reported_status(CM, ID, T).","< can_access_status, (u_a, (""[reported_status]"", 1)) >"
manager MID are saved.,Manager(M).,MID(ID).,"has_mid(M, ID) :- Manager(M), MID(ID).","can_save(M, ID) :- Manager(M), MID(ID), has_mid(M, ID).","< can_save, (u_a, (""[has_mid]"", 1)) >"
"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment,",User(U).,"Appointment(A), Comment(C).","has_appointment(U, A) :- User(U), Appointment(A). has_comment(A, C) :- Appointment(A), Comment(C).","can_read_comment(U, A, C) :- User(U), Appointment(A), Comment(C), has_appointment(U, A), has_comment(A, C).","< can_read_comment, (u_a, (""[has_appointment.has_comment]"", 2)) >"
"The LHCP types the subject (up to 100 characters) and the text of a message (up to 1000 characters),",LHCP(L).,Message(M).,"types_subject(L, M) :- LHCP(L), Message(M).
types_text(L, M) :- LHCP(L), Message(M).","can_type_message(L, M) :- LHCP(L), Message(M), types_subject(L, M), types_text(L, M).","< can_type_message, (u_a, (""[types_subject]"", 1) ∧ (""[types_text]"", 1)) >"
"The patient selects the type of appointment from a pull-down menu of the existing appointment types,",Patient(P).,AppointmentType(AT).,"has_access_to(P, AT) :- Patient(P), AppointmentType(AT).","can_select(P, AT) :- Patient(P), AppointmentType(AT), has_access_to(P, AT).","< can_select, (u_a, (""[has_access_to]"", 1)) >"
HCPs can return to an office visit,HCP(H).,OfficeVisit(V).,"has_visited(H, V) :- HCP(H), OfficeVisit(V).","can_return(H, V) :- HCP(H), OfficeVisit(V), has_visited(H, V).","< can_return, (u_a, (""[has_visited]"", 1)) >"
An LHCP or patient or representative can view his or her message inbox  including only the messages satisfying the specified filtering criteria in the saved filter.,"LHCP(L), Patient(P), Representative(R).","Message(M), Filter(F).","has_inbox(L, M) :- LHCP(L), Message(M).
has_inbox(P, M) :- Patient(P), Message(M).
has_inbox(R, M) :- Representative(R), Message(M).
satisfies_filter(M, F) :- Message(M), Filter(F).","can_view_inbox(L, M, F) :- LHCP(L), Message(M), Filter(F), has_inbox(L, M), satisfies_filter(M, F).
can_view_inbox(P, M, F) :- Patient(P), Message(M), Filter(F), has_inbox(P, M), satisfies_filter(M, F).
can_view_inbox(R, M, F) :- Representative(R), Message(M), Filter(F), has_inbox(R, M), satisfies_filter(M, F).","< can_view_inbox, (u_a, (""[has_inbox.satisfies_filter]"", 2)) >
< can_view_inbox, (u_a, (""[has_inbox.satisfies_filter]"", 2)) >
< can_view_inbox, (u_a, (""[has_inbox.satisfies_filter]"", 2)) >"
