natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
The iTrust user (patient or PHA) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
"An LHCP views a list of his or her upcoming appointments for the current date (sorted by time, soonest upcoming first), with each appointment displayed in the format 'HH:MM AM or PM - AppointmentType'.",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
Designated Licensed Health Care Professional (DLHCP): A licensed health care professional that is allowed by a particular patient to view all approved medical records.,"Patient(P), LicensedHealthCareProfessional(LHCP).",MedicalRecord(MR).,"designated_lhcp(P, LHCP) :- Patient(P), LicensedHealthCareProfessional(LHCP). approved_medical_record(P, MR) :- Patient(P), MedicalRecord(MR).","can_view(LHCP, P, MR) :- LicensedHealthCareProfessional(LHCP), Patient(P), MedicalRecord(MR), designated_lhcp(P, LHCP), approved_medical_record(P, MR).",designated_lhcp^{-1}.approved_medical_record
A Lab Technician can update the status of a lab procedure to received.,LabTechnician(LT).,LabProcedure(LP).,"can_update(LT, LP) :- LabTechnician(LT), LabProcedure(LP).","update_status_to_received(LT, LP) :- LabTechnician(LT), LabProcedure(LP), can_update(LT, LP).",can_update
"The iTrust user (LHCP, UAP, or patient) has been authenticated in the iTrust Medical Records system (UC3).",User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).",authenticated
"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",Person(P).,Information(I).,"stored_about(P, I) :- Person(P), Information(I).","can_access(P, I) :- Person(P), Information(I), stored_about(P, I), not jeopardises_third_party(I).",stored_about
"After the user modifies the criteria, the user chooses to click the Cancel button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter),",User(U).,"Filter(F), Criteria(C).","has_saved_filter(U, F) :- User(U), Filter(F).
has_criteria(F, C) :- Filter(F), Criteria(C).
modified_criteria(U, C) :- User(U), Criteria(C).","can_cancel_modifications(U, F) :- User(U), Filter(F), has_saved_filter(U, F), not modified_criteria(U, C) where has_criteria(F, C).",has_saved_filter
"After the user modifies the criteria, the user chooses to click the Test Search button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria),",User(U).,"Message(M), FilterCriteria(FC).","has_criteria(U, FC) :- User(U), FilterCriteria(FC).
satisfies_criteria(M, FC) :- Message(M), FilterCriteria(FC).","can_search_messages(U, FC) :- User(U), FilterCriteria(FC), has_criteria(U, FC).",has_criteria
"After the user modifies the criteria, the user chooses to click the Test Search button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria),",User(U).,"Message(M), FilterCriteria(FC).","has_criteria(U, FC) :- User(U), FilterCriteria(FC).
satisfies_criteria(M, FC) :- Message(M), FilterCriteria(FC).","can_view_message(U, M) :- User(U), Message(M), FilterCriteria(FC), has_criteria(U, FC), satisfies_criteria(M, FC).",has_criteria.satisfies_criteria^{-1}
"After the user modifies the criteria, the user chooses to click the Save button to save the modified filter.",User(U).,Filter(F).,"has_modification(U, F) :- User(U), Filter(F).","can_save(U, F) :- User(U), Filter(F), has_modification(U, F).",has_modification
This project involves the development of an application through which doctors can obtain and share essential patient information and,Doctor(D).,"Patient(P), Information(I).","has_access(D, P, I) :- Doctor(D), Patient(P), Information(I).","can_obtain(D, P, I) :- Doctor(D), Patient(P), Information(I), has_access(D, P, I). can_share(D1, D2, P, I) :- Doctor(D1), Doctor(D2), Patient(P), Information(I), has_access(D1, P, I), has_access(D2, P, I).",has_access.has_access
doctors can view aggregate patient data.,Doctor(D).,AggregatePatientData(A).,"has_access(D, A) :- Doctor(D), AggregatePatientData(A).","can_view(D, A) :- Doctor(D), AggregatePatientData(A), has_access(D, A).",has_access
and all access would be tracked.,User(U).,Resource(R).,"access_tracked(U, R) :- User(U), Resource(R).","track_access(U, R) :- User(U), Resource(R), access_tracked(U, R).",access_tracked
A LHCP or PHA chooses to examine recent trends in diagnoses,"LHCP(L), PHA(P).",Diagnosis(D).,"has_access_to_trends(S, D) :- (LHCP(S) ; PHA(S)), Diagnosis(D), recent(D).","can_examine_trends(S, D) :- (LHCP(S) ; PHA(S)), Diagnosis(D), recent(D), has_access_to_trends(S, D).",has_access_to_trends
The patient or representative clicks the send button.,"Patient(P), Representative(R).",SendButton(B).,"has_access(P, B) :- Patient(P), SendButton(B). has_access(R, B) :- Representative(R), SendButton(B).","can_click(S, B) :- (Patient(S) ; Representative(S)), SendButton(B), has_access(S, B).",has_access
The LHCP or ER confirms the input .,"LHCP(L), ER(E).",Input(I).,"can_confirm(L, I) :- LHCP(L), Input(I). can_confirm(E, I) :- ER(E), Input(I).","confirms(S, I) :- can_confirm(S, I).",can_confirm
then The LHCP clicks the send button.,LHCP(L).,Button(B).,"can_click(L, B) :- LHCP(L), Button(B).","click(L, B) :- LHCP(L), Button(B), can_click(L, B).",can_click
"If the security question or answer has been set (it is not null) , present security question.",User(U).,"SecurityQuestion(SQ), SecurityAnswer(SA).","has_security_question(U, SQ) :- User(U), SecurityQuestion(SQ). has_security_answer(U, SA) :- User(U), SecurityAnswer(SA).","can_present_security_question(U, SQ) :- User(U), SecurityQuestion(SQ), has_security_question(U, SQ), not null(SQ). can_present_security_question(U, SQ) :- User(U), SecurityQuestion(SQ), has_security_answer(U, SA), not null(SA).",has_security_question
"If the security question or answer has been set (it is not null) , obtain answer .",User(U).,"SecurityQuestion(SQ), SecurityAnswer(SA).","has_security_question(U, SQ) :- User(U), SecurityQuestion(SQ). has_security_answer(U, SA) :- User(U), SecurityAnswer(SA).","can_obtain_answer(U, SQ, SA) :- User(U), SecurityQuestion(SQ), SecurityAnswer(SA), has_security_question(U, SQ), has_security_answer(U, SA), not null(SQ), not null(SA).",has_security_answer
The LHCP may choose to override this warning,LHCP(L).,Warning(W).,"can_override(L, W) :- LHCP(L), Warning(W).","override_warning(L, W) :- LHCP(L), Warning(W), can_override(L, W).",can_override
The LHCP may choose to confirm the date and time,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_confirm(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
"The HCP cancels the lab procedure creation , .",HCP(H).,LabProcedure(L).,"created_by(L, H) :- LabProcedure(L), HCP(H).","can_cancel(H, L) :- HCP(H), LabProcedure(L), created_by(L, H).",created_by^{-1}
The HCP confirms their selection .,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), has_selection(H, S).",has_selection
A user requests that their password be changed .,User(U).,Password(PW).,"has_password(U, PW) :- User(U), Password(PW).","can_request_password_change(U, PW) :- User(U), Password(PW), has_password(U, PW).",has_password
The patient selects one of these appointments,Patient(P).,Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_select(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).",has_appointment
HCPs can return to an office visit,HCP(H).,OfficeVisit(V).,"has_visited(H, V) :- HCP(H), OfficeVisit(V).","can_return(H, V) :- HCP(H), OfficeVisit(V), has_visited(H, V).",has_visited
HCPs can modify or delete the fields of the office visit .,HCP(H).,OfficeVisit(OV).,"has_access_to(H, OV) :- HCP(H), OfficeVisit(OV).","can_modify(H, OV) :- HCP(H), OfficeVisit(OV), has_access_to(H, OV). can_delete(H, OV) :- HCP(H), OfficeVisit(OV), has_access_to(H, OV).",has_access_to
"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may choose to take the survey for an office visit","Patient(P), PersonalHealthRepresentative(R).","OfficeVisit(V), Survey(S).","has_visit(P, V) :- Patient(P), OfficeVisit(V).
has_visit(R, V) :- PersonalHealthRepresentative(R), OfficeVisit(V).
has_survey(S, V) :- Survey(S), OfficeVisit(V).
taken_survey(P, S, V) :- Patient(P), Survey(S), OfficeVisit(V).
taken_survey(R, S, V) :- PersonalHealthRepresentative(R), Survey(S), OfficeVisit(V).","can_take_survey(P, S, V) :- Patient(P), Survey(S), OfficeVisit(V), has_visit(P, V), has_survey(S, V), not taken_survey(P, S, V).",has_visit
"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may choose to take the survey for an office visit","Patient(P), PersonalHealthRepresentative(R).","OfficeVisit(V), Survey(S).","has_visit(P, V) :- Patient(P), OfficeVisit(V).
has_visit(R, V) :- PersonalHealthRepresentative(R), OfficeVisit(V).
has_survey(S, V) :- Survey(S), OfficeVisit(V).
taken_survey(P, S, V) :- Patient(P), Survey(S), OfficeVisit(V).
taken_survey(R, S, V) :- PersonalHealthRepresentative(R), Survey(S), OfficeVisit(V).","can_take_survey(R, S, V) :- PersonalHealthRepresentative(R), Survey(S), OfficeVisit(V), has_visit(R, V), has_survey(S, V), not taken_survey(R, S, V).",has_visit
An HCP is disable a selected patient .,HCP(H).,Patient(P).,"selected_patient(H, P) :- HCP(H), Patient(P).","can_disable(H, P) :- HCP(H), Patient(P), selected_patient(H, P).",selected_patient
"The LHCP opens the message to which he or she wishes to reply ,",LHCP(L).,Message(M).,"wishes_to_reply(L, M) :- LHCP(L), Message(M).","can_open(L, M) :- LHCP(L), Message(M), wishes_to_reply(L, M).",wishes_to_reply
The health care personnel confirms their selection .,HealthCarePersonnel(H).,Selection(S).,"has_selection(H, S) :- HealthCarePersonnel(H), Selection(S).","can_confirm(H, S) :- HealthCarePersonnel(H), Selection(S), has_selection(H, S).",has_selection
The LHCP confirms his or her input .,LHCP(L).,Input(I).,"has_input(L, I) :- LHCP(L), Input(I).","can_confirm(L, I) :- LHCP(L), Input(I), has_input(L, I).",has_input
The HCP determines if it is the patient they intend to deactivate .,HCP(H).,Patient(P).,"intends_to_deactivate(H, P) :- HCP(H), Patient(P).","can_deactivate(H, P) :- HCP(H), Patient(P), intends_to_deactivate(H, P).",intends_to_deactivate
"The user can type in the desired zip code and a week (which may be selected by start and end date, start date only, calendar control, dropdown, or any other suitable means) within the last year .",User(U).,"ZipCode(Z), Week(W).","can_input_zipcode(U, Z) :- User(U), ZipCode(Z). can_input_week(U, W) :- User(U), Week(W), within_last_year(W).","can_access_data(U, Z, W) :- User(U), ZipCode(Z), Week(W), can_input_zipcode(U, Z), can_input_week(U, W).",can_input_week
and the MIDS and temporary passwords are displayed to the HCP in a table.,HCP(H).,"MIDS(M), TemporaryPassword(TP).","displayed_to(H, M, TP) :- HCP(H), MIDS(M), TemporaryPassword(TP).","can_view(H, M, TP) :- displayed_to(H, M, TP).",displayed_to
The user can choose a influenza diagnosis,User(U).,Diagnosis(D).,"has_diagnosis(U, D) :- User(U), Diagnosis(D).","can_choose(U, D) :- User(U), Diagnosis(D), has_diagnosis(U, D).",has_diagnosis
"The LHCP selects the type of appointment from a pull-down menu of the existing appointment types,",LHCP(L).,AppointmentType(AT).,"has_access_to(L, AT) :- LHCP(L), AppointmentType(AT).","can_select(L, AT) :- LHCP(L), AppointmentType(AT), has_access_to(L, AT).",has_access_to
"The LHCP enter the appointment date and start time (only a date or time equal or after the current date or time is allowed) (the user interface shall provide both the option of typing in a specific date in the date format and the option of selecting a date from a calendar for the current month),",LHCP(L).,"Appointment(A), Date(D), Time(T).","can_schedule(L, A, D, T) :- LHCP(L), Appointment(A), Date(D), Time(T), D >= current_date, T >= current_time.","enter_appointment(L, A, D, T) :- LHCP(L), Appointment(A), Date(D), Time(T), can_schedule(L, A, D, T).",can_schedule
The HCP enters a MID  or name of a patient,HCP(H).,Patient(P).,"enters(H, P) :- HCP(H), Patient(P).","can_access_patient_info(H, P) :- HCP(H), Patient(P), enters(H, P).",enters
The HCP confirms their selection .,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), has_selection(H, S).",has_selection
"A patient wants to renew the patient's expired prescriptions (i.e., prescriptions' end dates are earlier than the current date)",Patient(P).,"Prescription(PR), Date(CURRENT_DATE).","has_prescription(P, PR) :- Patient(P), Prescription(PR).
expired_prescription(PR) :- Prescription(PR), Date(CURRENT_DATE), end_date(PR, END_DATE), END_DATE < CURRENT_DATE.","can_renew(P, PR) :- Patient(P), Prescription(PR), has_prescription(P, PR), expired_prescription(PR).",has_prescription
A patient wants to find the LHCPs who earlier wrote the patient's expired prescriptions (it is assumed that the doctors who wrote prescriptions are all LHCPs so no LHCP checks on the prescription-writing doctors are needed).,"Patient(P), LHCP(L).",Prescription(PR).,"wrote_prescription(L, PR) :- LHCP(L), Prescription(PR). has_prescription(P, PR) :- Patient(P), Prescription(PR). expired(PR) :- Prescription(PR).","find_lhcps(P, L) :- Patient(P), LHCP(L), wrote_prescription(L, PR), has_prescription(P, PR), expired(PR).",has_prescription.wrote_prescription^{-1}
An HCP chooses to document an office visit,HCP(H).,OfficeVisit(V).,"has_access(H, V) :- HCP(H), OfficeVisit(V).","can_document(H, V) :- HCP(H), OfficeVisit(V), has_access(H, V).",has_access
An HCP chooses to modify an already documented office visit.,HCP(H).,OfficeVisit(V).,"has_documented(H, V) :- HCP(H), OfficeVisit(V).","can_modify(H, V) :- HCP(H), OfficeVisit(V), has_documented(H, V).",has_documented
"The sending HCP then chooses to save the edits, cancel the edits,",HCP(H).,Edits(E).,"has_edits(H, E) :- HCP(H), Edits(E).","can_save(H, E) :- HCP(H), Edits(E), has_edits(H, E). can_cancel(H, E) :- HCP(H), Edits(E), has_edits(H, E).",has_edits
The sending HCP then chooses to re-enter the data .,HCP(H).,Data(D).,"sends(H, D) :- HCP(H), Data(D).","can_reenter(H, D) :- HCP(H), Data(D), sends(H, D).",sends
patient representative MID are saved.,"Patient(P), Representative(R).",MedicalID(MID).,"has_representative(P, R) :- Patient(P), Representative(R). has_medicalID(P, MID) :- Patient(P), MedicalID(MID).","can_save_medicalID(R, P, MID) :- Representative(R), Patient(P), MedicalID(MID), has_representative(P, R), has_medicalID(P, MID).",has_representative^{-1}.has_medicalID
"The input data, a timestamp, and the fact that the status was reported by case manager",CaseManager(CM).,"InputData(ID), Timestamp(T).","reported_status(CM, ID, T) :- CaseManager(CM), InputData(ID), Timestamp(T).","can_access_status(CM, ID, T) :- CaseManager(CM), InputData(ID), Timestamp(T), reported_status(CM, ID, T).",reported_status
manager MID are saved.,Manager(M).,MID(ID).,"has_mid(M, ID) :- Manager(M), MID(ID).","can_save(M, ID) :- Manager(M), MID(ID), has_mid(M, ID).",has_mid
"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment,",User(U).,"Appointment(A), Comment(C).","has_appointment(U, A) :- User(U), Appointment(A). has_comment(A, C) :- Appointment(A), Comment(C).","can_read_comment(U, A, C) :- User(U), Appointment(A), Comment(C), has_appointment(U, A), has_comment(A, C).",has_appointment.has_comment
"The LHCP types the subject (up to 100 characters) and the text of a message (up to 1000 characters),",LHCP(L).,Message(M).,"types_subject(L, M) :- LHCP(L), Message(M).
types_text(L, M) :- LHCP(L), Message(M).","can_type_message(L, M) :- LHCP(L), Message(M), types_subject(L, M), types_text(L, M).",types_subject
The LHCP clicks the send button.,LHCP(L).,Button(B).,"can_click(L, B) :- LHCP(L), Button(B).","click(L, B) :- LHCP(L), Button(B), can_click(L, B).",can_click
"The patient selects the type of appointment from a pull-down menu of the existing appointment types,",Patient(P).,AppointmentType(AT).,"has_access_to(P, AT) :- Patient(P), AppointmentType(AT).","can_select(P, AT) :- Patient(P), AppointmentType(AT), has_access_to(P, AT).",has_access_to
HCPs can return to an office visit,HCP(H).,OfficeVisit(V).,"has_visited(H, V) :- HCP(H), OfficeVisit(V).","can_return(H, V) :- HCP(H), OfficeVisit(V), has_visited(H, V).",has_visited
An LHCP or patient or representative can view his or her message inbox  including only the messages satisfying the specified filtering criteria in the saved filter.,"LHCP(L), Patient(P), Representative(R).","Message(M), Filter(F).","has_inbox(L, M) :- LHCP(L), Message(M).
has_inbox(P, M) :- Patient(P), Message(M).
has_inbox(R, M) :- Representative(R), Message(M).
satisfies_filter(M, F) :- Message(M), Filter(F).","can_view_inbox(L, M, F) :- LHCP(L), Message(M), Filter(F), has_inbox(L, M), satisfies_filter(M, F).",has_inbox.satisfies_filter
An LHCP or patient or representative can view his or her message inbox  including only the messages satisfying the specified filtering criteria in the saved filter.,"LHCP(L), Patient(P), Representative(R).","Message(M), Filter(F).","has_inbox(L, M) :- LHCP(L), Message(M).
has_inbox(P, M) :- Patient(P), Message(M).
has_inbox(R, M) :- Representative(R), Message(M).
satisfies_filter(M, F) :- Message(M), Filter(F).","can_view_inbox(P, M, F) :- Patient(P), Message(M), Filter(F), has_inbox(P, M), satisfies_filter(M, F).",has_inbox.satisfies_filter
An LHCP or patient or representative can view his or her message inbox  including only the messages satisfying the specified filtering criteria in the saved filter.,"LHCP(L), Patient(P), Representative(R).","Message(M), Filter(F).","has_inbox(L, M) :- LHCP(L), Message(M).
has_inbox(P, M) :- Patient(P), Message(M).
has_inbox(R, M) :- Representative(R), Message(M).
satisfies_filter(M, F) :- Message(M), Filter(F).","can_view_inbox(R, M, F) :- Representative(R), Message(M), Filter(F), has_inbox(R, M), satisfies_filter(M, F).",has_inbox.satisfies_filter
The system shall enable the administrator to add a new entry for a hospital,Administrator(A).,Hospital(H).,"can_add_hospital(A, H) :- Administrator(A), Hospital(H).","add_hospital(A, H) :- can_add_hospital(A, H).",can_add_hospital
