natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
An LHCP reviews pending consultations.,LHCP(L).,Consultation(C).,pending_consultation(C) :- Consultation(C).,"can_review(L, C) :- LHCP(L), Consultation(C), pending_consultation(C)."
An HCP edits patient.,HCP(H).,Patient(P).,,"can_edit(H, P) :- HCP(H), Patient(P)."
"""A patient, patient representative or LHCP opens his message inbox or outbox.""","Patient(P), PatientRepresentative(PR), LHCP(L).","MessageInbox(MI), MessageOutbox(MO).","has_access_to(P, MI), has_access_to(P, MO) :- Patient(P), MessageInbox(MI), MessageOutbox(MO). has_access_to(PR, MI), has_access_to(PR, MO) :- PatientRepresentative(PR), MessageInbox(MI), MessageOutbox(MO). has_access_to(L, MI), has_access_to(L, MO) :- LHCP(L), MessageInbox(MI), MessageOutbox(MO).","can_open(P, MI), can_open(P, MO) :- Patient(P), MessageInbox(MI), MessageOutbox(MO), has_access_to(P, MI), has_access_to(P, MO). can_open(PR, MI), can_open(PR, MO) :- PatientRepresentative(PR), MessageInbox(MI), MessageOutbox(MO), has_access_to(PR, MI), has_access_to(PR, MO). can_open(L, MI), can_open(L, MO) :- LHCP(L), MessageInbox(MI), MessageOutbox(MO), has_access_to(L, MI), has_access_to(L, MO)."
HCPs can return to an office visit.,HCP(H).,OfficeVisit(V).,"has_visit(H, V) :- HCP(H), OfficeVisit(V).","can_return(H, V) :- HCP(H), OfficeVisit(V), has_visit(H, V)."
System presents the actual operational profile of the operations of the iTrust.,User(U).,Operation(OP).,"has_access(U, OP) :- User(U), Operation(OP).","can_view_profile(U, OP) :- User(U), Operation(OP), has_access(U, OP)."
The system shall append 20 more activities to the end of the currently listed activities on the same page.,"System(S), User(U).","Page(P), Activity(A).","viewing_page(U, P) :- User(U), Page(P).","can_append_activities(S, U, P) :- System(S), User(U), Page(P), viewing_page(U, P)."
The LHCP views his message inbox.,LHCP(L).,MessageInbox(I).,"has_message_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_message_inbox(L, I)."
An LHCP can schedule an appointment with a patient.,"LHCP(L), Patient(P).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_schedule(L, P, A) :- LHCP(L), Patient(P), Appointment(A)."
A patient is added to the list by the LHCP or UAP through typing in the patient's MID or name.,"LHCP(L), UAP(U).","Patient(P), List(LIST).","has_access(L, LIST) :- LHCP(L), List(LIST). has_access(U, LIST) :- UAP(U), List(LIST).","can_add_to_list(L, P, LIST) :- LHCP(L), Patient(P), List(LIST), has_access(L, LIST). can_add_to_list(U, P, LIST) :- UAP(U), Patient(P), List(LIST), has_access(U, LIST)."
The HCP does not have the ability to edit the patient's security question and password.,HCP(H).,"Patient(P), SecurityQuestion(SQ), Password(PW).","has_security_question(P, SQ) :- Patient(P), SecurityQuestion(SQ). has_password(P, PW) :- Patient(P), Password(PW).","cannot_edit(H, P, SQ) :- HCP(H), Patient(P), SecurityQuestion(SQ), has_security_question(P, SQ). cannot_edit(H, P, PW) :- HCP(H), Patient(P), Password(PW), has_password(P, PW)."
"""System displays the details for the prescription in a new page, including the medications prescribed.""","User(U), System(S).","Prescription(PR), Medication(M).","has_prescription(PR, M) :- Prescription(PR), Medication(M).","can_view(U, PR, M) :- User(U), Prescription(PR), Medication(M), has_prescription(PR, M)."
The HCP must proceed with the prescription.,HCP(H).,Prescription(PR).,"can_proceed(H, PR) :- HCP(H), Prescription(PR).","proceed(H, PR) :- HCP(H), Prescription(PR), can_proceed(H, PR)."
The LHCP views the physiologic data monitoring details of his patients for the current date.,LHCP(L).,"Patient(P), PhysiologicData(PD).","has_patient(L, P) :- LHCP(L), Patient(P). has_data(P, PD, current_date) :- Patient(P), PhysiologicData(PD).","can_view(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), has_patient(L, P), has_data(P, PD, current_date)."
"""A secret key is personally provided to the user, with which the user can reset his or her password.""",User(U).,"SecretKey(K), Password(P).","has_secret_key(U, K) :- User(U), SecretKey(K).","can_reset_password(U, P) :- User(U), Password(P), has_secret_key(U, K)."
An LHCP chooses a chronic disease and a patient.,LHCP(L).,"ChronicDisease(CD), Patient(P).","can_choose(L, CD, P) :- LHCP(L), ChronicDisease(CD), Patient(P).","choose(L, CD, P) :- LHCP(L), ChronicDisease(CD), Patient(P), can_choose(L, CD, P)."
An administrator can manage a standardized list of appointment types.,Administrator(A).,AppointmentType(AT).,"manages(A, AT) :- Administrator(A), AppointmentType(AT).","can_manage(A, AT) :- Administrator(A), AppointmentType(AT)."
The LHCP views an appointment.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
The patient views his message inbox.,Patient(P).,MessageInbox(M).,"owns_inbox(P, M) :- Patient(P), MessageInbox(M).","can_view(P, M) :- Patient(P), MessageInbox(M), owns_inbox(P, M)."
System presents a menu of his patients and a menu of other LHCPs.,"LHCP(L), User(U).","Patient(P), LHCP(L2).","has_patient(L, P) :- LHCP(L), Patient(P).","can_view_menu(U, P) :- User(U), Patient(P), LHCP(L), has_patient(L, P). can_view_menu(U, L2) :- User(U), LHCP(L2)."
"""System presents the MID of the sending LHCP, the patient MID, and the referral details.""","System(S), LHCP(L), Patient(P).","MID(M), ReferralDetails(RD).","sends_referral(L, P, RD) :- LHCP(L), Patient(P), ReferralDetails(RD).","can_present(S, L, P, RD) :- System(S), LHCP(L), Patient(P), ReferralDetails(RD), sends_referral(L, P, RD)."
"""By default, the messages in the message inbox should be ordered by timestamp, the most recent first.""",User(U).,Message(M).,"has_inbox(U, M) :- User(U), Message(M).
has_timestamp(M, T) :- Message(M), Timestamp(T).","can_view_ordered(U, M) :- User(U), Message(M), has_inbox(U, M), has_timestamp(M, T), ordered_by_timestamp_desc(M, T)."
"""The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.""",HCP(H).,"Prescription(PR), Dosage(D), StartDate(SD), EndDate(ED), SpecialInstructions(SI).","provides_dosage(H, PR, D) :- HCP(H), Prescription(PR), Dosage(D). provides_start_date(H, PR, SD) :- HCP(H), Prescription(PR), StartDate(SD). provides_end_date(H, PR, ED) :- HCP(H), Prescription(PR), EndDate(ED). provides_special_instructions(H, PR, SI) :- HCP(H), Prescription(PR), SpecialInstructions(SI).","can_provide_prescription_details(H, PR, D, SD, ED, SI) :- HCP(H), Prescription(PR), Dosage(D), StartDate(SD), EndDate(ED), SpecialInstructions(SI), provides_dosage(H, PR, D), provides_start_date(H, PR, SD), provides_end_date(H, PR, ED), provides_special_instructions(H, PR, SI)."
The administrator stores the National Drug Code.,Administrator(A).,NationalDrugCode(NDC).,"stores(A, NDC) :- Administrator(A), NationalDrugCode(NDC).","can_store(A, NDC) :- Administrator(A), NationalDrugCode(NDC)."
A user views physician satisfaction survey results.,User(U).,SurveyResult(SR).,"has_access_to(U, SR) :- User(U), SurveyResult(SR).","can_view(U, SR) :- User(U), SurveyResult(SR), has_access_to(U, SR)."
An LHCP or UAP can delete patients from his monitoring list.,"LHCP(L), UAP(U).",Patient(P).,"monitors(S, P) :- (LHCP(S) ; UAP(S)), Patient(P).","can_delete(S, P) :- (LHCP(S) ; UAP(S)), Patient(P), monitors(S, P)."
The representative clicks the send button.,Representative(R).,Button(B).,"has_access(R, B) :- Representative(R), Button(B).","can_click(R, B) :- Representative(R), Button(B), has_access(R, B)."
The administrator is not allowed to modify the hospital ID number in an existing entry.,Administrator(A).,"HospitalID(H), Entry(E).","has_entry(E, H) :- Entry(E), HospitalID(H).","cannot_modify(A, E, H) :- Administrator(A), Entry(E), HospitalID(H), has_entry(E, H)."
"""In both cases, system presents the name of the patient.""",System(S).,Patient(P).,"has_name(P, Name) :- Patient(P).","can_present(S, P, Name) :- System(S), Patient(P), has_name(P, Name)."
A user can request to change their password.,User(U).,Password(PW).,"has_password(U, PW) :- User(U), Password(PW).","can_request_password_change(U, PW) :- User(U), Password(PW), has_password(U, PW)."
The information is edited.,Editor(E).,Information(I).,"can_edit(E, I) :- Editor(E), Information(I).","edit_action(E, I) :- can_edit(E, I)."
Patients with a weight value 5% more or less than the immediate previously recorded weight value are highlighted.,Patient(P).,"Weight(W), PreviousWeight(PW).","has_weight(P, W) :- Patient(P), Weight(W). has_previous_weight(P, PW) :- Patient(P), PreviousWeight(PW).","highlight(P) :- Patient(P), has_weight(P, W), has_previous_weight(P, PW), (W >= PW * 0.95, W <= PW * 1.05)."
"""The patient views the list sorted by the role of the accessor relative to the patient (personal health representative, DLHCP, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type.""","Patient(P), Accessor(A).","List(L), Role(R), Date(D).","has_role(A, R) :- Accessor(A), Role(R).
relative_to(A, P, R) :- Accessor(A), Patient(P), Role(R).
access_date(A, P, D) :- Accessor(A), Patient(P), Date(D).","can_view_sorted(P, L) :- Patient(P), List(L), sorted_by_role_and_date(P, L).
sorted_by_role_and_date(P, L) :- Patient(P), List(L), forall(A, (in_list(A, L) -> (exists(R, D, (relative_to(A, P, R), access_date(A, P, D))))))."
The representative types the subject and the text of a message.,Representative(R).,Message(M).,"types_subject(R, M) :- Representative(R), Message(M). types_text(R, M) :- Representative(R), Message(M).","can_type_message(R, M) :- Representative(R), Message(M), types_subject(R, M), types_text(R, M)."
"""The user selects an appointment from the calendar to read its details by clicking the """"Read Details"""" link beside or below the appointment type name.""",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_read_details(U, A) :- User(U), Appointment(A), has_appointment(U, A)."
"""On the LHCP homepage, the LHCP views a notification center with a list of his upcoming appointments for the current date, number of physiologic data monitoring reports of his patients for the current date, number of weight or pedometer data monitoring reports of his patients for the current date, number of unread messages from his message inbox.""",LHCP(L).,"NotificationCenter(NC), Appointment(A), PhysiologicReport(PR), WeightPedometerReport(WPR), Message(M).","has_appointment(L, A) :- LHCP(L), Appointment(A).
has_patient(L, P) :- LHCP(L), Patient(P).
has_physiologic_report(P, PR) :- Patient(P), PhysiologicReport(PR).
has_weight_pedometer_report(P, WPR) :- Patient(P), WeightPedometerReport(WPR).
has_message(L, M) :- LHCP(L), Message(M).","can_view_notification_center(L, NC) :- LHCP(L), NotificationCenter(NC).
can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).
can_view_physiologic_reports(L, PR) :- LHCP(L), PhysiologicReport(PR), has_patient(L, P), has_physiologic_report(P, PR).
can_view_weight_pedometer_reports(L, WPR) :- LHCP(L), WeightPedometerReport(WPR), has_patient(L, P), has_weight_pedometer_report(P, WPR).
can_view_messages(L, M) :- LHCP(L), Message(M), has_message(L, M)."
"""System presents a listing of immunization-related adverse events for the time period that do not have a status of """"removed"""", sorted by CPT code .""",System(S).,"AdverseEvent(AE), CPTCode(C).","has_status(AE, ""removed"") :- AdverseEvent(AE).","can_present_listing(S, AE, C) :- System(S), AdverseEvent(AE), CPTCode(C), not has_status(AE, ""removed"")."
"""An LHCP, patient and representative may view a message.""","LHCP(L), Patient(P), Representative(R).",Message(M).,,"can_view(L, M) :- LHCP(L), Message(M). can_view(P, M) :- Patient(P), Message(M). can_view(R, M) :- Representative(R), Message(M)."
The patient views all LHCPs the patient has ever had an office visit with and those whom he or she had designated.,Patient(P).,LHCP(L).,"has_office_visit(P, L) :- Patient(P), LHCP(L). designated(P, L) :- Patient(P), LHCP(L).","can_view(P, L) :- Patient(P), LHCP(L), (has_office_visit(P, L) ; designated(P, L))."
The LHCP can obtain additional information about a patient.,LHCP(L).,"Patient(P), AdditionalInfo(I).","has_additional_info(P, I) :- Patient(P), AdditionalInfo(I).","can_obtain_info(L, P, I) :- LHCP(L), Patient(P), AdditionalInfo(I), has_additional_info(P, I)."
"""The LHCP name, specialty, and  address are provided.""",LHCP(L).,"Name(N), Specialty(S), Address(A).","has_name(L, N) :- LHCP(L), Name(N). has_specialty(L, S) :- LHCP(L), Specialty(S). has_address(L, A) :- LHCP(L), Address(A).","can_access(L, N, S, A) :- LHCP(L), Name(N), Specialty(S), Address(A), has_name(L, N), has_specialty(L, S), has_address(L, A)."
"""An administrator enters a LHCP, an ER, or a public healh agent.""",Administrator(A).,"LHCP(L), ER(E), PublicHealthAgent(PHA).","enters(A, L) :- Administrator(A), LHCP(L). enters(A, E) :- Administrator(A), ER(E). enters(A, PHA) :- Administrator(A), PublicHealthAgent(PHA).","can_enter(A, L) :- Administrator(A), LHCP(L). can_enter(A, E) :- Administrator(A), ER(E). can_enter(A, PHA) :- Administrator(A), PublicHealthAgent(PHA)."
An LHCP views the number of submitted weight data monitoring reports of his patients for the current date.,"LHCP(L), Patient(P).",WeightReport(WR).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, WR, current_date) :- Patient(P), WeightReport(WR).","can_view_report_count(L, P, current_date) :- LHCP(L), Patient(P), has_patient(L, P), submitted_report(P, WR, current_date)."
The public health agent can see the detail of a specific report.,PublicHealthAgent(A).,Report(R).,"assigned_to(A, R) :- PublicHealthAgent(A), Report(R).","can_see(A, R) :- PublicHealthAgent(A), Report(R), assigned_to(A, R)."
System presents an approvel screen.,User(U).,Screen(S).,"can_access(U, S) :- User(U), Screen(S).","present_screen(U, S) :- User(U), Screen(S), can_access(U, S)."
System presents a list of his messages in the message inbox.,User(U).,Message(M).,"has_message(U, M) :- User(U), Message(M).","can_view_messages(U) :- User(U), has_message(U, M)."
The LHCP must confirm the add.,LHCP(L).,Add(A).,,"must_confirm(L, A) :- LHCP(L), Add(A)."
The LHCP can view of the comprehensive patient report for the specified patient,LHCP(L).,"Patient(P), ComprehensivePatientReport(R).","has_report(P, R) :- Patient(P), ComprehensivePatientReport(R).","can_view(L, R) :- LHCP(L), ComprehensivePatientReport(R), Patient(P), has_report(P, R)."
The HCP can edit the office visit in which the laboratory procedure was ordered.,HCP(H).,"OfficeVisit(V), LaboratoryProcedure(L).","ordered_in(L, V) :- LaboratoryProcedure(L), OfficeVisit(V).","can_edit(H, V) :- HCP(H), OfficeVisit(V), LaboratoryProcedure(L), ordered_in(L, V)."
An LHCP views his iTrust homepage.,LHCP(L).,Homepage(H).,"has_homepage(L, H) :- LHCP(L), Homepage(H).","can_view(L, H) :- LHCP(L), Homepage(H), has_homepage(L, H)."
System presents a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,DLHCP(D).,Patient(P).,"needs_care(P) :- Patient(P), condition_satisfied(P).","can_view_patient_listing(D, P) :- DLHCP(D), Patient(P), needs_care(P), assigned_to(D, P)."
An HCP may document an office visit.,HCP(H).,OfficeVisit(OV).,,"can_document(H, OV) :- HCP(H), OfficeVisit(OV)."
A patient reports their physiologic data.,Patient(P).,PhysiologicData(PD).,"reports(P, PD) :- Patient(P), PhysiologicData(PD).","can_report(P, PD) :- Patient(P), PhysiologicData(PD)."
"""System presents a listing of prescription drug-related adverse events for the time period that do not have a status of """"removed"""", sorted by NDC.""","System(S), AdverseEvent(AE).","Drug(DR), TimePeriod(TP).","related_to(AE, DR) :- AdverseEvent(AE), Drug(DR).
has_status(AE, ""removed"") :- AdverseEvent(AE).
occurred_during(AE, TP) :- AdverseEvent(AE), TimePeriod(TP).","can_present_listing(S, AE, DR, TP) :- System(S), AdverseEvent(AE), Drug(DR), TimePeriod(TP), related_to(AE, DR), occurred_during(AE, TP), not has_status(AE, ""removed"")."
The LHCP opens the message to which he or she wishes to reply.,LHCP(L).,Message(M).,"can_reply_to(L, M) :- LHCP(L), Message(M).","can_open(L, M) :- LHCP(L), Message(M), can_reply_to(L, M)."
"""The patient or personal representative can see patient personal health information, immunizations, and office visit information for their own records and the records for whom the user is a personal representative.""","User(U), Patient(P), PersonalRepresentative(PR).","PersonalHealthInfo(PHI), Immunization(IMM), OfficeVisitInfo(OVI).","is_patient(U, P) :- User(U), Patient(P). is_personal_representative(U, PR) :- User(U), PersonalRepresentative(PR). has_record(P, PHI) :- Patient(P), PersonalHealthInfo(PHI). has_record(P, IMM) :- Patient(P), Immunization(IMM). has_record(P, OVI) :- Patient(P), OfficeVisitInfo(OVI).","can_see(U, PHI) :- User(U), PersonalHealthInfo(PHI), (is_patient(U, P), has_record(P, PHI); is_personal_representative(U, PR), has_record(P, PHI)). can_see(U, IMM) :- User(U), Immunization(IMM), (is_patient(U, P), has_record(P, IMM); is_personal_representative(U, PR), has_record(P, IMM)). can_see(U, OVI) :- User(U), OfficeVisitInfo(OVI), (is_patient(U, P), has_record(P, OVI); is_personal_representative(U, PR), has_record(P, OVI))."
The drug is checked for interactions between other drugs currently taken by the patient.,"Patient(P), Prescriber(D).","Drug(DR), Drug(DR_other).","takes_drug(P, DR_other) :- Patient(P), Drug(DR_other).","can_check_interaction(D, P, DR) :- Prescriber(D), Patient(P), Drug(DR), takes_drug(P, DR_other), not interacts(DR, DR_other)."
The LHCP requests a comprehensive patient report for a particular patient.,"LHCP(L), Patient(P).",Report(R).,"has_report(P, R) :- Patient(P), Report(R).","can_request(L, P, R) :- LHCP(L), Patient(P), Report(R), has_report(P, R)."
An HCP edits an office visit.,HCP(H).,OfficeVisit(V).,"has_access(H, V) :- HCP(H), OfficeVisit(V).","can_edit(H, V) :- HCP(H), OfficeVisit(V), has_access(H, V)."
"""The patient is sent a """"fake email"""".""","Sender(S), Patient(P).",FakeEmail(FE).,"is_sent_to(FE, P) :- FakeEmail(FE), Patient(P).","can_send_fake_email(S, P, FE) :- Sender(S), Patient(P), FakeEmail(FE), is_sent_to(FE, P)."
LHCP can edit future appointments.,LHCP(L).,Appointment(A).,is_future(A) :- Appointment(A).,"can_edit(L, A) :- LHCP(L), Appointment(A), is_future(A)."
The LHCP confirms the patient's MID.,LHCP(L).,Patient(P).,"has_mid(P, MID) :- Patient(P), MID(MID).","can_confirm(L, P, MID) :- LHCP(L), Patient(P), MID(MID), has_mid(P, MID)."
"""A patient, patient representative, or LHCP clicks this number to view his message inbox.""","Patient(P), PatientRepresentative(R), LHCP(L).",MessageInbox(I).,"has_access_to(P, I) :- Patient(P), MessageInbox(I). has_access_to(R, I) :- PatientRepresentative(R), MessageInbox(I). has_access_to(L, I) :- LHCP(L), MessageInbox(I).","can_view_inbox(P, I) :- Patient(P), MessageInbox(I), has_access_to(P, I). can_view_inbox(R, I) :- PatientRepresentative(R), MessageInbox(I), has_access_to(R, I). can_view_inbox(L, I) :- LHCP(L), MessageInbox(I), has_access_to(L, I)."
The HCP prescribes a patient a drug by selecting its NDC and name.,HCP(H).,"Patient(P), Drug(DR).","prescribes(H, P, DR) :- HCP(H), Patient(P), Drug(DR).","can_prescribe(H, P, DR) :- HCP(H), Patient(P), Drug(DR)."
System presents a screen upon which he can choose a date range.,User(U).,"Screen(S), DateRange(DR).","can_access_screen(U, S) :- User(U), Screen(S).","can_choose_date_range(U, S, DR) :- User(U), Screen(S), DateRange(DR), can_access_screen(U, S)."
"""For the patient, the HCP can choose height or weight to graph.""","HCP(H), Patient(P).",Measurement(M).,"has_measurement(P, M) :- Patient(P), Measurement(M).","can_graph(H, P, M) :- HCP(H), Patient(P), Measurement(M), has_measurement(P, M), (M = height; M = weight)."
Demographic information is edited.,User(U).,DemographicInfo(DI).,"has_access_to(U, DI) :- User(U), DemographicInfo(DI).","can_edit(U, DI) :- User(U), DemographicInfo(DI), has_access_to(U, DI)."
The patient chooses the immunization for which to report the adverse event.,Patient(P).,Immunization(I).,"has_immunization(P, I) :- Patient(P), Immunization(I).","can_report_adverse_event(P, I) :- Patient(P), Immunization(I), has_immunization(P, I)."
System presents two lists of NDC codes or names.,System(S).,"NDC_List(L1), NDC_List(L2).","presents(S, L1) :- System(S), NDC_List(L1). presents(S, L2) :- System(S), NDC_List(L2).","can_view(L1, L2) :- System(S), NDC_List(L1), NDC_List(L2), presents(S, L1), presents(S, L2)."
The patient can add also a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP.,Patient(P).,"LHCP(L), ProviderList(PL).","has_provider_list(P, PL) :- Patient(P), ProviderList(PL).","can_add_lhcp(P, L, PL) :- Patient(P), LHCP(L), ProviderList(PL), has_provider_list(P, PL)."
"""The LHCP, the patient or the representative clicks the """"Test Search"""" button to search (i.e., displaying the message inbox including only the messages satisfying the specified filtering criteria).""","LHCP(L), Patient(P), Representative(R).","Message(M), FilterCriteria(F).","has_access_to_inbox(S, M) :- (Subject(S), Message(M)), can_view(S, M).","can_search(S, F) :- (Subject(S), FilterCriteria(F)), (S = L; S = P; S = R)."
The HCP can graph height or weight of the patient over the last 3 calendar years.,HCP(H).,"Patient(P), Measurement(M).","has_measurement(P, M, Year) :- Patient(P), Measurement(M), Year >= current_year - 3, Year <= current_year.","can_graph(H, P, M) :- HCP(H), Patient(P), Measurement(M), has_measurement(P, M, Year), M.type in {height, weight}."
"""A patient, patient representative, or LHCP selects one option out of the """"by order of"""" labeled drop-down box (with options of """"ascending"""" or """"descending"""").""","Patient(P), PatientRepresentative(PR), LHCP(L).","DropDownBox(DD), Option(O).","has_option(DD, O) :- DropDownBox(DD), Option(O).","can_select(S, DD, O) :- (Patient(S) ; PatientRepresentative(S) ; LHCP(S)), DropDownBox(DD), Option(O), has_option(DD, O)."
"""HCPs can modify or delete the fields of the office visit information (date, hospital, notes, prescriptions, laboratory procedures, diagnoses, procedures, possibly and possibly immunizations).""",HCP(H).,"OfficeVisit(OV), Field(F).","has_field(OV, F) :- OfficeVisit(OV), Field(F).","can_modify_or_delete(H, OV, F) :- HCP(H), OfficeVisit(OV), Field(F), has_field(OV, F)."
"""An administrator enters a LHCP, an ER or a public health agent as a user of system.""",Administrator(A).,User(U).,"enters_user(A, U) :- Administrator(A), User(U).","can_enter_user(A, U) :- Administrator(A), User(U)."
"""The HCP can edit patient's historical values, patient's immunizations, patient's office visit information, patient's family history, and patient's BMI.""",HCP(H).,"Patient(P), HistoricalValues(HV), Immunizations(I), OfficeVisitInfo(OV), FamilyHistory(FH), BMI(B).","has_historical_values(P, HV) :- Patient(P), HistoricalValues(HV).
has_immunizations(P, I) :- Patient(P), Immunizations(I).
has_office_visit_info(P, OV) :- Patient(P), OfficeVisitInfo(OV).
has_family_history(P, FH) :- Patient(P), FamilyHistory(FH).
has_bmi(P, B) :- Patient(P), BMI(B).","can_edit(H, P, HV) :- HCP(H), Patient(P), HistoricalValues(HV), has_historical_values(P, HV).
can_edit(H, P, I) :- HCP(H), Patient(P), Immunizations(I), has_immunizations(P, I).
can_edit(H, P, OV) :- HCP(H), Patient(P), OfficeVisitInfo(OV), has_office_visit_info(P, OV).
can_edit(H, P, FH) :- HCP(H), Patient(P), FamilyHistory(FH), has_family_history(P, FH).
can_edit(H, P, B) :- HCP(H), Patient(P), BMI(B), has_bmi(P, B)."
"""An admin creates a LHCP, an ER and a public health agent.""",Admin(A).,"LHCP(L), ER(E), PublicHealthAgent(PHA).","creates(A, L) :- Admin(A), LHCP(L). creates(A, E) :- Admin(A), ER(E). creates(A, PHA) :- Admin(A), PublicHealthAgent(PHA).","can_create(A, L) :- Admin(A), LHCP(L). can_create(A, E) :- Admin(A), ER(E). can_create(A, PHA) :- Admin(A), PublicHealthAgent(PHA)."
The software tester authenticates himself in the iTrust.,SoftwareTester(ST).,iTrustSystem(IT).,"authenticated_in(ST, IT) :- SoftwareTester(ST), iTrustSystem(IT).","can_authenticate(ST, IT) :- SoftwareTester(ST), iTrustSystem(IT)."
A patient views a list of his upcoming appointments.,Patient(P).,Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A)."
"""An HCP identifies chronic patients who need an office visit, older patients who need a flu shot, or any patient who is overdue for an immunization.""",HCP(H).,"Patient(P), OfficeVisit(OV), FluShot(FS), Immunization(I).","has_chronic_condition(P) :- Patient(P).
needs_office_visit(P, OV) :- Patient(P), OfficeVisit(OV), has_chronic_condition(P).
is_older_patient(P) :- Patient(P).
needs_flu_shot(P, FS) :- Patient(P), FluShot(FS), is_older_patient(P).
is_overdue_for_immunization(P, I) :- Patient(P), Immunization(I).","can_identify(H, P, OV) :- HCP(H), Patient(P), OfficeVisit(OV), needs_office_visit(P, OV).
can_identify(H, P, FS) :- HCP(H), Patient(P), FluShot(FS), needs_flu_shot(P, FS).
can_identify(H, P, I) :- HCP(H), Patient(P), Immunization(I), is_overdue_for_immunization(P, I)."
The administrator modifies the duration in an existing entry.,Administrator(A).,"Entry(E), Duration(D).","has_entry(A, E) :- Administrator(A), Entry(E).","can_modify_duration(A, E, D) :- Administrator(A), Entry(E), Duration(D), has_entry(A, E)."
The HCP is notified of drug allergy.,HCP(H).,Drug(DR).,"has_allergy(P, DR) :- Patient(P), Drug(DR). notified(H, P, DR) :- HCP(H), Patient(P), Drug(DR), has_allergy(P, DR).","can_notify(H, P, DR) :- HCP(H), Patient(P), Drug(DR), has_allergy(P, DR)."
"""A fake email is sent to the LHCP who prescribed the medication indicating the patient name and MID, drug, and symptoms.""","LHCP(L), Patient(P).","Drug(DR), Symptom(S), Email(E).","prescribed(L, P, DR) :- LHCP(L), Patient(P), Drug(DR).","send_fake_email(E, L, P, DR, S) :- LHCP(L), Patient(P), Drug(DR), Symptom(S), prescribed(L, P, DR)."
The patient’s MID can not be edited.,User(U).,Patient(P).,"has_mid(P, MID) :- Patient(P).","cannot_edit(U, P, MID) :- User(U), Patient(P), has_mid(P, MID)."
The patient can view a list of laboratory procedures and status for their own records and the records for which the user is a personal representative.,User(U).,LabRecord(LR).,"is_patient_of(U, LR) :- User(U), LabRecord(LR).
is_personal_representative_of(U, LR) :- User(U), LabRecord(LR).","can_view(U, LR) :- User(U), LabRecord(LR), (is_patient_of(U, LR); is_personal_representative_of(U, LR))."
A fake email is sent to the LHCP alerting the LHCP that a new message reply has arrived.,LHCP(L).,"Email(E), Message(M).","is_fake_email(E) :- Email(E).
has_new_reply(M) :- Message(M).","send_fake_email(L, E, M) :- LHCP(L), Email(E), Message(M), is_fake_email(E), has_new_reply(M)."
The HCP then documents the office visit date and hospital location of the office visit.,HCP(H).,OfficeVisit(OV).,"has_date(OV, Date) :- OfficeVisit(OV).
has_location(OV, Location) :- OfficeVisit(OV).","can_document(H, OV) :- HCP(H), OfficeVisit(OV)."
A HCP edits a laboratory procedure.,HCP(H).,LaboratoryProcedure(LP).,"has_access(H, LP) :- HCP(H), LaboratoryProcedure(LP).","can_edit(H, LP) :- HCP(H), LaboratoryProcedure(LP), has_access(H, LP)."
The public health agent may  remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus).,PublicHealthAgent(A).,AdverseEventReport(R).,"is_reporter_of(P, R) :- Person(P), AdverseEventReport(R).","can_remove(A, R) :- PublicHealthAgent(A), AdverseEventReport(R), (exists(P) such that is_reporter_of(P, R) and communication(A, P)) or appears_bogus(R)."
"""The appointment details display the appointment type, appointment date and the start time, duration, the name of the patient, and appointment comments.""",User(U).,"Appointment(A), AppointmentType(T), Date(D), Time(ST), Duration(DUR), Patient(P), Comment(C).","has_type(A, T) :- Appointment(A), AppointmentType(T).
has_date(A, D) :- Appointment(A), Date(D).
has_start_time(A, ST) :- Appointment(A), Time(ST).
has_duration(A, DUR) :- Appointment(A), Duration(DUR).
has_patient(A, P) :- Appointment(A), Patient(P).
has_comment(A, C) :- Appointment(A), Comment(C).","can_view_appointment_details(U, A) :- User(U), Appointment(A), has_type(A, T), has_date(A, D), has_start_time(A, ST), has_duration(A, DUR), has_patient(A, P), has_comment(A, C)."
An HCP chooses Office Visit Reminders.,HCP(H).,OfficeVisitReminders(R).,"chooses(H, R) :- HCP(H), OfficeVisitReminders(R).","can_choose(H, R) :- HCP(H), OfficeVisitReminders(R)."
