natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
A sending HCP refers the patient to another receiving HCP .,"HCP(SendingHCP), HCP(ReceivingHCP).",Patient(P).,"refers_to(SendingHCP, P, ReceivingHCP) :- HCP(SendingHCP), Patient(P), HCP(ReceivingHCP).","can_refer(SendingHCP, P, ReceivingHCP) :- HCP(SendingHCP), Patient(P), HCP(ReceivingHCP), not refers_to(SendingHCP, P, ReceivingHCP)."
The system directs the user to make a different choice.,User(U).,Choice(C).,"directs_to_change(U, C) :- User(U), Choice(C).","can_direct(U, C) :- User(U), Choice(C), directs_to_change(U, C)."
"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.","Administrator(A), SoftwareTester(ST).",Database(DB).,"has_access(A, DB) :- Administrator(A), Database(DB).","can_add_tester(A, ST, DB) :- Administrator(A), SoftwareTester(ST), Database(DB), has_access(A, DB)."
"Upon reading the report, the public health agent can choose to send a fake email message to the adverse event reporter to gain more information about the report.","PublicHealthAgent(A), AdverseEventReporter(R).","Report(REP), FakeEmailMessage(FEM).","has_read(A, REP) :- PublicHealthAgent(A), Report(REP).","can_send_fake_email(A, R, FEM, REP) :- PublicHealthAgent(A), AdverseEventReporter(R), FakeEmailMessage(FEM), Report(REP), has_read(A, REP)."
"A patient can click View Full Calendar link to view his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates in the current month displayed on a calendar for the current month .",Patient(P).,"Calendar(C), Appointment(A), OfficeVisit(OV), Prescription(PR), LabProcedure(LP).","has_appointment(P, A) :- Patient(P), Appointment(A).
has_office_visit(P, OV) :- Patient(P), OfficeVisit(OV).
has_prescription(P, PR) :- Patient(P), Prescription(PR).
has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).
is_current_month_date(D) :- Date(D).","can_view_calendar(P, C) :- Patient(P), Calendar(C), has_appointment(P, A), has_office_visit(P, OV), has_prescription(P, PR), has_lab_procedure(P, LP), is_current_month_date(A.date), is_current_month_date(OV.date), is_current_month_date(PR.date), is_current_month_date(LP.date)."
The user inputs the MID of a patient who is deceased and is prompted to try again.,User(U).,Patient(P).,deceased(P) :- Patient(P).,"prompt_try_again(U, P) :- User(U), Patient(P), deceased(P)."
The HCP can edit the patient according to data format 6.4  with all initial values (except patient MID) defaulting to null possibly and possibly 0 as appropriate.,HCP(H).,"Patient(P), DataFormat(DF).","has_data_format(P, DF) :- Patient(P), DataFormat(DF).","can_edit(H, P, DF) :- HCP(H), Patient(P), DataFormat(DF), has_data_format(P, DF), DF = '6.4'."
"An LHCP can see the blood pressure and glucose levels , or weight, height, and pedometer readings  for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings .","LHCP(L), Patient(P).","PhysiologicData(PD), HeightWeightPedometerData(HWPD).","monitors(L, P) :- LHCP(L), Patient(P).","can_see(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), monitors(L, P). can_see(L, P, HWPD) :- LHCP(L), Patient(P), HeightWeightPedometerData(HWPD), monitors(L, P)."
A Lab Technician can record the results of a lab procedure .,LabTechnician(LT).,LabProcedure(LP).,,"can_record(LT, LP) :- LabTechnician(LT), LabProcedure(LP)."
The HCP types a invalid zip code (zip codes are five digits) and is prompted to try again.,HCP(H).,ZipCode(Z).,"invalid_zip(Z) :- ZipCode(Z), not length(Z, 5).","prompt_retry(H, Z) :- HCP(H), ZipCode(Z), invalid_zip(Z)."
The HCP can choose to add or remove another registered user as a personal health representative to that patient.,"HCP(H), RegisteredUser(U).",Patient(P).,"personal_health_representative(U, P) :- RegisteredUser(U), Patient(P).","can_add_remove_representative(H, U, P) :- HCP(H), RegisteredUser(U), Patient(P)."
An HCP can create a lab procedure for a given office visit .,HCP(H).,"OfficeVisit(V), LabProcedure(L).","has_visit(H, V) :- HCP(H), OfficeVisit(V).","can_create(H, V, L) :- HCP(H), OfficeVisit(V), LabProcedure(L), has_visit(H, V)."
A patient has just been diagnosed with a condition and wants to find the LHCPs in the area who have handled that condition.,"Patient(P), LHCP(L).","Condition(C), Area(A).","diagnosed_with(P, C) :- Patient(P), Condition(C).
located_in(L, A) :- LHCP(L), Area(A).
handled_condition(L, C) :- LHCP(L), Condition(C).","can_find(P, L, C, A) :- Patient(P), LHCP(L), Condition(C), Area(A), diagnosed_with(P, C), located_in(L, A), handled_condition(L, C)."
The LHCP chooses to schedule an appointment with a patient (it is assumed that the LHCP and patient have already worked out the details of the appointment in person or via telephone outside of the system).,"LHCP(L), Patient(P).",Appointment(A).,"can_schedule(L, P, A) :- LHCP(L), Patient(P), Appointment(A).","schedule_appointment(L, P, A) :- LHCP(L), Patient(P), Appointment(A), can_schedule(L, P, A)."
"An HCP chooses Office Visit Reminders and then to identify chronic patients who need an office visit , older patients who need a flu shot , or any patient who is overdue for an immunization .",HCP(H).,Patient(P).,is_chronic(P) :- Patient(P). needs_office_visit(P) :- Patient(P). is_older(P) :- Patient(P). needs_flu_shot(P) :- Patient(P). is_overdue_for_immunization(P) :- Patient(P).,"can_identify(H, P) :- HCP(H), Patient(P), (is_chronic(P), needs_office_visit(P); is_older(P), needs_flu_shot(P); is_overdue_for_immunization(P))."
"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",Patient(P).,Referral(R).,"has_referral(P, R) :- Patient(P), Referral(R).","can_view_referral_details(P, R) :- Patient(P), Referral(R), has_referral(P, R)."
An LHCP wants to send a message to a patient possibly and possibly that patient's personal representative  or a patient or personal representative wants to send a message to one of their DLHCP or that of a person they are representing .,"LHCP(L), Patient(P), PersonalRepresentative(R), DLHCP(D).",Message(M).,"represents(R, P) :- PersonalRepresentative(R), Patient(P). has_dlhcp(P, D) :- Patient(P), DLHCP(D). has_dlhcp(R, D) :- PersonalRepresentative(R), DLHCP(D).","can_send_message(L, P, M) :- LHCP(L), Patient(P), Message(M). can_send_message(L, R, M) :- LHCP(L), PersonalRepresentative(R), Message(M), represents(R, P). can_send_message(P, D, M) :- Patient(P), DLHCP(D), Message(M), has_dlhcp(P, D). can_send_message(R, D, M) :- PersonalRepresentative(R), DLHCP(D), Message(M), has_dlhcp(R, D)."
The patients can choose to toggle between designating or undesignating any LHCP as being a DLHCP for themselves.,"Patient(P), LHCP(L).",DLHCP(D).,"designated_as_dlhcp(P, L) :- Patient(P), LHCP(L).","can_toggle_designation(P, L) :- Patient(P), LHCP(L)."
The user can select an appointment from the calendar to read the appointment's details .,User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_read_appointment(U, A) :- User(U), Appointment(A), has_appointment(U, A)."
The patient or representative views his or her message inbox.,"Patient(P), Representative(R).",MessageInbox(I).,"has_inbox(P, I) :- Patient(P), MessageInbox(I). has_inbox(R, I) :- Representative(R), MessageInbox(I).","can_view(P, I) :- Patient(P), MessageInbox(I), has_inbox(P, I). can_view(R, I) :- Representative(R), MessageInbox(I), has_inbox(R, I)."
The patient chooses to view all LHCPs the patient has ever had an office visit with and those whom he or she had designated .,Patient(P).,LHCP(L).,"has_office_visit_with(P, L) :- Patient(P), LHCP(L). designated_by(P, L) :- Patient(P), LHCP(L).","can_view(P, L) :- Patient(P), LHCP(L), (has_office_visit_with(P, L) ; designated_by(P, L))."
"The LHCP can view of the comprehensive patient report for the specified group, including the information below.","LHCP(L), Group(G).","Patient(P), ComprehensivePatientReport(R).","belongs_to(P, G) :- Patient(P), Group(G).","can_view(L, R) :- LHCP(L), ComprehensivePatientReport(R), Patient(P), Group(G), belongs_to(P, G), report_of(R, P)."
The user inputs invalid information and is prompted to try again.,User(U).,Information(I).,"inputs(U, I) :- User(U), Information(I).","prompt_retry(U) :- User(U), Information(I), inputs(U, I), invalid(I)."
A sending HCP cancels a previously sent patient referral .,HCP(Sender).,"Patient(P), Referral(R).","sent_referral(Sender, P, R) :- HCP(Sender), Patient(P), Referral(R).","can_cancel_referral(Sender, P, R) :- HCP(Sender), Patient(P), Referral(R), sent_referral(Sender, P, R)."
The form validation of the system shall show the errors of all the fields in a form at the same time.,"System(S), User(U).","Form(F), Field(FLD).","has_field(F, FLD) :- Form(F), Field(FLD).
has_error(FLD) :- Field(FLD).","can_show_errors(S, U, F) :- System(S), User(U), Form(F), not (has_field(F, FLD), not has_error(FLD))."
The administrator will store (1) the National Drug Code (The National Drug Code (NDC) is a universal product identifier used in the United States for drugs intended for human use).,Administrator(A).,"Drug(D), NationalDrugCode(NDC).","has_ndc(D, NDC) :- Drug(D), NationalDrugCode(NDC).","can_store(A, NDC) :- Administrator(A), NationalDrugCode(NDC)."
"The iTrust user (Lab Technician, patient, or HCP) has been authenticated in the iTrust Medical Records system (UC3).",User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S)."
The administrator types an invalid code information and is prompted to try again.,Administrator(A).,Code(C).,"types_invalid_code(A, C) :- Administrator(A), Code(C).","prompt_to_try_again(A) :- Administrator(A), Code(C), types_invalid_code(A, C)."
"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.","Patient(P), PersonalHealthRepresentative(R).","OfficeVisit(V), Question(Q).","is_previous_visit(V) :- OfficeVisit(V).
has_question(V, Q) :- OfficeVisit(V), Question(Q).
belongs_to(P, V) :- Patient(P), OfficeVisit(V).
represents(R, P) :- PersonalHealthRepresentative(R), Patient(P).","can_answer(P, V, Q) :- Patient(P), OfficeVisit(V), Question(Q), belongs_to(P, V), is_previous_visit(V), has_question(V, Q).
can_answer(R, V, Q) :- PersonalHealthRepresentative(R), OfficeVisit(V), Question(Q), represents(R, P), belongs_to(P, V), is_previous_visit(V), has_question(V, Q)."
The HCP has authenticated himself or herself in the iTrust Medical Records system(UC3).,HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S)."
"The receiving HCP then selects a referral to view details and is presented with the name and specialty of the sending HCP, the patient's name, the referral notes, the referral priority, the office visit date with a link to the office visit, and the time the referral was created.","ReceivingHCP(RHCP), SendingHCP(SHCP), Patient(P).","Referral(REF), OfficeVisit(OV).","has_referral(RHCP, REF) :- ReceivingHCP(RHCP), Referral(REF). sent_by(REF, SHCP) :- Referral(REF), SendingHCP(SHCP). refers_to(REF, P) :- Referral(REF), Patient(P). associated_with(REF, OV) :- Referral(REF), OfficeVisit(OV).","can_view_details(RHCP, REF) :- ReceivingHCP(RHCP), Referral(REF), has_referral(RHCP, REF)."
"Once entered, the enterer or editor is presented a screen of the input to approve .","Enterer(E), Editor(Ed).",Input(I).,"entered_by(I, E) :- Input(I), Enterer(E).","can_approve(E, I) :- Enterer(E), Input(I), entered_by(I, E). can_approve(Ed, I) :- Editor(Ed), Input(I)."
The HCP may also add a patient referral (UC33).,HCP(H).,"Patient(P), Referral(R).","has_referral(P, R) :- Patient(P), Referral(R).","can_add_referral(H, P, R) :- HCP(H), Patient(P), Referral(R)."
The LHCP types an invalid MID and is prompted to try again.,LHCP(L).,MID(M).,"invalid_mid(L, M) :- LHCP(L), MID(M).","prompt_to_retry(L, M) :- LHCP(L), MID(M), invalid_mid(L, M)."
"By default, the messages in the list should be ordered by timestamp, the most recent first.",User(U).,Message(M).,"has_timestamp(M, T) :- Message(M), Timestamp(T).","can_view_ordered(U, M) :- User(U), Message(M), has_timestamp(M, T), not (has_timestamp(M2, T2), T2 > T)."
"The user selects a message from the message inbox or outbox to read by clicking the Read link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.","User(U), Message(M).",Message(M).,"has_access_to(U, M) :- User(U), Message(M), (in_inbox(U, M) ; in_outbox(U, M)).","can_read(U, M) :- User(U), Message(M), has_access_to(U, M)."
"For the diagnostic information which a patient can restrict viewing, he or she can choose to enable designated licensed health care professionals, possibly and possibly other licensed health care professionals, possibly and possibly no one.","Patient(P), LicensedHealthCareProfessional(LHCP).",DiagnosticInfo(DI).,"owns(P, DI) :- Patient(P), DiagnosticInfo(DI). designated(P, LHCP) :- Patient(P), LicensedHealthCareProfessional(LHCP).","can_view(LHCP, DI) :- LicensedHealthCareProfessional(LHCP), DiagnosticInfo(DI), Patient(P), owns(P, DI), designated(P, LHCP)."
"A patient may have at most one height data point, one weight data point, and one pedometer data point in any one day, reported by him or herself, a UAP, or a personal representative .","Patient(P), UAP(U), PersonalRepresentative(PR).","HeightData(H), WeightData(W), PedometerData(PD), Day(D).","reports(P, H, D) :- Patient(P), HeightData(H), Day(D). reports(P, W, D) :- Patient(P), WeightData(W), Day(D). reports(P, PD, D) :- Patient(P), PedometerData(PD), Day(D). reports(U, H, D) :- UAP(U), HeightData(H), Day(D). reports(U, W, D) :- UAP(U), WeightData(W), Day(D). reports(U, PD, D) :- UAP(U), PedometerData(PD), Day(D). reports(PR, H, D) :- PersonalRepresentative(PR), HeightData(H), Day(D). reports(PR, W, D) :- PersonalRepresentative(PR), WeightData(W), Day(D). reports(PR, PD, D) :- PersonalRepresentative(PR), PedometerData(PD), Day(D).","can_report(P, H, D) :- Patient(P), HeightData(H), Day(D), not (reports(P, H2, D), H2 != H). can_report(P, W, D) :- Patient(P), WeightData(W), Day(D), not (reports(P, W2, D), W2 != W). can_report(P, PD, D) :- Patient(P), PedometerData(PD), Day(D), not (reports(P, PD2, D), PD2 != PD). can_report(U, H, D) :- UAP(U), HeightData(H), Day(D), not (reports(U, H2, D), H2 != H). can_report(U, W, D) :- UAP(U), WeightData(W), Day(D), not (reports(U, W2, D), W2 != W). can_report(U, PD, D) :- UAP(U), PedometerData(PD), Day(D), not (reports(U, PD2, D), PD2 != PD). can_report(PR, H, D) :- PersonalRepresentative(PR), HeightData(H), Day(D), not (reports(PR, H2, D), H2 != H). can_report(PR, W, D) :- PersonalRepresentative(PR), WeightData(W), Day(D), not (reports(PR, W2, D), W2 != W). can_report(PR, PD, D) :- PersonalRepresentative(PR), PedometerData(PD), Day(D), not (reports(PR, PD2, D), PD2 != PD)."
The LHCP is able to view the comprehensive group report .,LHCP(L).,ComprehensiveGroupReport(R).,,"can_view(L, R) :- LHCP(L), ComprehensiveGroupReport(R)."
A patient views the details of his or her referrals .,Patient(P).,Referral(R).,"has_referral(P, R) :- Patient(P), Referral(R).","can_view(P, R) :- Patient(P), Referral(R), has_referral(P, R)."
"A sending HCP cancels a previously sent patient referral by visiting the office visit page, viewing the details of a previously sent patient referral , and choosing cancel.",HCP(H).,"Patient(P), Referral(R).","sent_referral(H, P, R) :- HCP(H), Patient(P), Referral(R).","can_cancel_referral(H, P, R) :- HCP(H), Patient(P), Referral(R), sent_referral(H, P, R)."
An HCP can remove a previously created lab procedure .,HCP(H).,LabProcedure(LP).,"created_by(LP, H) :- LabProcedure(LP), HCP(H).","can_remove(H, LP) :- HCP(H), LabProcedure(LP), created_by(LP, H)."
The two drugs and a textual description of the possible effects of the interaction are stored.,"Drug(D1), Drug(D2).",InteractionDescription(ID).,"has_interaction(D1, D2, ID) :- Drug(D1), Drug(D2), InteractionDescription(ID).","store_interaction(D1, D2, ID) :- Drug(D1), Drug(D2), InteractionDescription(ID)."
A patient chooses to view their patient specific instructions by selecting a link named Patient Specific Instructions under the View heading in the left hand menu .,Patient(P).,PatientSpecificInstructions(I).,"has_access(P, I) :- Patient(P), PatientSpecificInstructions(I).","can_view(P, I) :- Patient(P), PatientSpecificInstructions(I), has_access(P, I)."
"The user has successfully changed his or her password (UC3, S2).",User(U).,Password(PW).,"has_password(U, PW) :- User(U), Password(PW).","can_change_password(U, PW) :- User(U), Password(PW), has_password(U, PW)."
The LHCP does not confirm the selection and is prompted to try again.,LHCP(L).,Selection(S).,"prompted_to_try_again(L, S) :- LHCP(L), Selection(S), not confirmed(L, S).","can_confirm(L, S) :- LHCP(L), Selection(S), not prompted_to_try_again(L, S)."
The HCP selects one or more reasons out the nine reasons listed here for the overriding.,HCP(H).,Reason(R).,"has_reason(H, R) :- HCP(H), Reason(R).","can_override(H) :- HCP(H), has_reason(H, R)."
The health care professional does not confirm the selection and is prompted to try again.,HealthCareProfessional(H).,Selection(S).,"prompted_to_retry(H, S) :- HealthCareProfessional(H), Selection(S), not confirmed_selection(H, S).","can_proceed(H, S) :- HealthCareProfessional(H), Selection(S), confirmed_selection(H, S)."
An LHCP chooses to view the height or weight or pedometer data monitoring details.,LHCP(L).,"HeightData(HD), WeightData(WD), PedometerData(PD).","has_access_to(L, HD) :- LHCP(L), HeightData(HD). has_access_to(L, WD) :- LHCP(L), WeightData(WD). has_access_to(L, PD) :- LHCP(L), PedometerData(PD).","can_view(L, HD) :- LHCP(L), HeightData(HD), has_access_to(L, HD). can_view(L, WD) :- LHCP(L), WeightData(WD), has_access_to(L, WD). can_view(L, PD) :- LHCP(L), PedometerData(PD), has_access_to(L, PD)."
An HCP chooses to enter or edit personal health information.,HCP(H).,PersonalHealthInfo(PHI).,"has_access(H, PHI) :- HCP(H), PersonalHealthInfo(PHI).","can_enter_or_edit(H, PHI) :- HCP(H), PersonalHealthInfo(PHI), has_access(H, PHI)."
"For each patient from the monitoring list, the LHCP can choose to edit which types of remote monitoring information (blood pressure, glucose levels, height, weight, and pedometer readings) should be submitted by the patient.","LHCP(L), Patient(P).",MonitoringInfoType(MIT).,"on_monitoring_list(P) :- Patient(P).
has_type(MIT) :- MonitoringInfoType(MIT), MIT in {blood_pressure, glucose_levels, height, weight, pedometer_readings}.","can_edit_submission_types(L, P, MIT) :- LHCP(L), Patient(P), MonitoringInfoType(MIT), on_monitoring_list(P), has_type(MIT)."
Administrator: The administrator assigns medical identification numbers and passwords to LHCPs.,Administrator(A).,"LHCP(L), MedicalID(MID), Password(PW).","assigns(A, L, MID, PW) :- Administrator(A), LHCP(L), MedicalID(MID), Password(PW).","can_assign(A, L, MID, PW) :- Administrator(A), LHCP(L), MedicalID(MID), Password(PW)."
The iTrust user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S)."
A sending HCP views a list of previously sent patient referrals .,HCP(S).,"Referral(R), Patient(P).","sent_referral(S, P, R) :- HCP(S), Patient(P), Referral(R).","can_view_referrals(S, R) :- HCP(S), Referral(R), sent_referral(S, _, R)."
Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the patient.,Patient(P).,"InputEntry(E), DataType(D).","has_data_type(P, D) :- Patient(P), DataType(D).
under_monitoring(P, D) :- Patient(P), DataType(D).
applicable_entry(E, D) :- InputEntry(E), DataType(D).","displayed_to_patient(P, E) :- Patient(P), InputEntry(E), applicable_entry(E, D), under_monitoring(P, D)."
An LHCP wishes to reply to a message.,LHCP(L).,Message(M).,"has_message(L, M) :- LHCP(L), Message(M).","can_reply(L, M) :- LHCP(L), Message(M), has_message(L, M)."
The user can select a laboratory procedure from the calendar to read the laboratory procedure's details .,User(U).,"LaboratoryProcedure(LP), Calendar(C).","has_procedure(C, LP) :- Calendar(C), LaboratoryProcedure(LP).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), Calendar(C), has_procedure(C, LP)."
The administrator chooses to maintain the overriding reasons that an HCP can select from .,"Administrator(A), HCP(H).",OverridingReason(R).,"maintains(A, R) :- Administrator(A), OverridingReason(R).","can_select(H, R) :- HCP(H), OverridingReason(R), maintains(A, R)."
The HCP is prompted to confirm that he or she wishes to remove the lab procedure.,HCP(H).,LabProcedure(L).,"has_authority(H, L) :- HCP(H), LabProcedure(L).","can_remove(H, L) :- HCP(H), LabProcedure(L), has_authority(H, L)."
"The LHCP's name, specialty, and address are provided.",LHCP(L).,"Name(N), Specialty(S), Address(A).","has_name(L, N) :- LHCP(L), Name(N). has_specialty(L, S) :- LHCP(L), Specialty(S). has_address(L, A) :- LHCP(L), Address(A).","can_access(L, N, S, A) :- LHCP(L), Name(N), Specialty(S), Address(A), has_name(L, N), has_specialty(L, S), has_address(L, A)."
"The input data, a timestamp, and the fact that the status was reported by case manager and his or her MID are saved.",CaseManager(CM).,"InputData(ID), Timestamp(T), Status(S).","reported_by(S, CM) :- Status(S), CaseManager(CM).","save(ID, T, S, CM) :- InputData(ID), Timestamp(T), Status(S), CaseManager(CM), reported_by(S, CM)."
"The patient's assigned MID and a secret key (the initial password) are personally provided to the user, with which the user can reset his or her password.","User(U), Patient(P).","MID(M), SecretKey(SK).","has_mid(P, M) :- Patient(P), MID(M). has_secret_key(P, SK) :- Patient(P), SecretKey(SK). assigned_to(U, P) :- User(U), Patient(P).","can_reset_password(U, P) :- User(U), Patient(P), assigned_to(U, P), has_mid(P, M), has_secret_key(P, SK)."
"The patient, UAP, or personal representative enters a glucose level outside the range 0-250.","Patient(P), UAP(U), PersonalRepresentative(R).",GlucoseLevel(G).,"enters_glucose_level(S, G) :- (Patient(S) ; UAP(S) ; PersonalRepresentative(S)), GlucoseLevel(G), (G < 0 ; G > 250).","can_enter_glucose_level(S, G) :- (Patient(S) ; UAP(S) ; PersonalRepresentative(S)), GlucoseLevel(G), (G < 0 ; G > 250)."
The system shall append 20 more activities to the end of the currently listed activities on the same page.,"User(U), System(S).","Activity(A), Page(P).","has_access(U, P) :- User(U), Page(P).","can_append(S, U, P, A) :- System(S), User(U), Page(P), Activity(A), has_access(U, P)."
An LHCP or UAP can add and delete patients from his or her monitoring list.,"LHCP(L), UAP(U).",Patient(P).,"has_monitoring_list(L, P) :- LHCP(L), Patient(P). has_monitoring_list(U, P) :- UAP(U), Patient(P).","can_add(L, P) :- LHCP(L), Patient(P), not has_monitoring_list(L, P). can_add(U, P) :- UAP(U), Patient(P), not has_monitoring_list(U, P). can_delete(L, P) :- LHCP(L), Patient(P), has_monitoring_list(L, P). can_delete(U, P) :- UAP(U), Patient(P), has_monitoring_list(U, P)."
"The patient chooses 'My Diagnoses and is presented with a listing of all their own diagnoses, sorted by diagnosis date (more recent first).",Patient(P).,Diagnosis(DI).,"has_diagnosis(P, DI) :- Patient(P), Diagnosis(DI).","can_view_diagnoses(P, DI) :- Patient(P), Diagnosis(DI), has_diagnosis(P, DI)."
"The patient, UAP, or personal representative enters a systolic blood pressure outside the range 40-240 or a diastolic blood pressure outside the range 40-150.","Patient(P), UAP(U), PersonalRepresentative(PR).",BloodPressureReading(BPR).,"enters_reading(S, BPR) :- (Patient(S); UAP(S); PersonalRepresentative(S)), BloodPressureReading(BPR).","invalid_reading(S, BPR) :- enters_reading(S, BPR), (systolic_out_of_range(BPR); diastolic_out_of_range(BPR)). systolic_out_of_range(BPR) :- BloodPressureReading(BPR), systolic(BPR, SBP), (SBP < 40; SBP > 240). diastolic_out_of_range(BPR) :- BloodPressureReading(BPR), diastolic(BPR, DBP), (DBP < 40; DBP > 150)."
The user chooses to open his or her message inbox or outbox.,User(U).,"Inbox(I), Outbox(O).","has_inbox(U, I) :- User(U), Inbox(I). has_outbox(U, O) :- User(U), Outbox(O).","can_open(U, I) :- User(U), Inbox(I), has_inbox(U, I). can_open(U, O) :- User(U), Outbox(O), has_outbox(U, O)."
The HCP selects a patient to deactivate.,HCP(H).,Patient(P).,"selected_to_deactivate(H, P) :- HCP(H), Patient(P).","can_deactivate(H, P) :- HCP(H), Patient(P), selected_to_deactivate(H, P)."
The LHCP is able to view the comprehensive patient report  from a list of his or her requests.,LHCP(L).,PatientReport(PR).,"has_request(L, PR) :- LHCP(L), PatientReport(PR).","can_view(L, PR) :- LHCP(L), PatientReport(PR), has_request(L, PR)."
"The HCP selects a different Lab Technician from the list of available Lab Technicians (displayed with Lab Technician specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).","HCP(H), LabTechnician(LT).","LabProcedure(LP), Priority(P).","has_specialty(LT, Specialty) :- LabTechnician(LT). pending_procedures(LT, LP, P) :- LabTechnician(LT), LabProcedure(LP), Priority(P).","can_select(H, LT) :- HCP(H), LabTechnician(LT), not selected_before(H, LT). selected_before(H, LT) :- HCP(H), LabTechnician(LT)."
The patient or personal health representative clicks an appointment to view more details.,"Patient(P), PersonalHealthRepresentative(R).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A). has_appointment(R, A) :- PersonalHealthRepresentative(R), Appointment(A).","can_view_details(P, A) :- Patient(P), Appointment(A), has_appointment(P, A). can_view_details(R, A) :- PersonalHealthRepresentative(R), Appointment(A), has_appointment(R, A)."
"A user (a patient, patient representative, or LHCP) views the number of unread messages from his or her message inbox.",User(U).,"Message(M), Inbox(I).","has_inbox(U, I) :- User(U), Inbox(I).
has_message(I, M) :- Inbox(I), Message(M).
unread_message(M) :- Message(M).","can_view_unread_count(U, I) :- User(U), Inbox(I), has_inbox(U, I)."
An HCP may upload a photo of the patient as part of the patient's demographic records.,HCP(H).,"Patient(P), Photo(Ph).","has_demographic_record(P, Ph) :- Patient(P), Photo(Ph).","can_upload(H, P, Ph) :- HCP(H), Patient(P), Photo(Ph), has_demographic_record(P, Ph)."
LHCPs and patients or representatives may reply to messages .,"LHCP(L), Patient(P), Representative(R).",Message(M).,"is_representative_of(R, P) :- Representative(R), Patient(P).","can_reply(L, M) :- LHCP(L), Message(M). can_reply(P, M) :- Patient(P), Message(M). can_reply(R, M) :- Representative(R), Message(M), is_representative_of(R, P)."
"Then, this person's electronic records are accessible via the iTrust Medical Records system.",Person(P).,ElectronicRecord(ER).,"has_record(P, ER) :- Person(P), ElectronicRecord(ER).","can_access_system(P, ER) :- Person(P), ElectronicRecord(ER), has_record(P, ER)."
The HCP types an invalid date and is prompted to try again.,HCP(H).,Date(D).,"types_invalid_date(H, D) :- HCP(H), Date(D).","prompt_to_try_again(H, D) :- HCP(H), Date(D), types_invalid_date(H, D)."
The patient can choose to click this link.,Patient(P).,Link(L).,"has_choice(P, L) :- Patient(P), Link(L).","can_click(P, L) :- Patient(P), Link(L), has_choice(P, L)."
"A secret key is personally provided to the user, with which the user can reset his or her password.",User(U).,"SecretKey(SK), Password(PW).","has_secret_key(U, SK) :- User(U), SecretKey(SK).","can_reset_password(U, PW) :- User(U), Password(PW), has_secret_key(U, SK)."
The patient and receiving HCP receive a message (UC30) indicating that the referral was canceled.,"Patient(P), HCP(H).","Message(M), Referral(R).","receives_message(P, M) :- Patient(P), Message(M).
receives_message(H, M) :- HCP(H), Message(M).
message_content(M, R) :- Message(M), Referral(R).
referral_canceled(R) :- Referral(R).","can_receive_cancel_message(P, H, M, R) :- Patient(P), HCP(H), Message(M), Referral(R), receives_message(P, M), receives_message(H, M), message_content(M, R), referral_canceled(R)."
"The LHCP can view of the comprehensive patient report for the specified patient, including the information below.",LHCP(L).,"Patient(P), ComprehensiveReport(R).","has_report(P, R) :- Patient(P), ComprehensiveReport(R).","can_view(L, P, R) :- LHCP(L), Patient(P), ComprehensiveReport(R), has_report(P, R)."
"A user (a patient or personal health representative) views basic information about his or her designated LHCPs, including the name, phone number, and contact email information .",User(U).,LHCP(L).,"is_designated(L, U) :- LHCP(L), User(U).","can_view(U, L, basic_info) :- User(U), LHCP(L), is_designated(L, U)."
The LHCP chooses to view all patients with which he or she has ever had an office visit with.,LHCP(L).,Patient(P).,"has_office_visit(L, P) :- LHCP(L), Patient(P).","can_view(L, P) :- LHCP(L), Patient(P), has_office_visit(L, P)."
The LHCP is unable to edit or remove any past appointments.,LHCP(L).,Appointment(A).,is_past(A) :- Appointment(A).,"cannot_edit(L, A) :- LHCP(L), Appointment(A), is_past(A). cannot_remove(L, A) :- LHCP(L), Appointment(A), is_past(A)."
The LHCP types an invalid medical identification number and is prompted to try again.,LHCP(L).,MedicalID(M).,invalid_medical_id(M) :- MedicalID(M).,"prompt_retry(L, M) :- LHCP(L), MedicalID(M), invalid_medical_id(M)."
